timeframe,side,window_start,window_end,assets,trades,total_r,avg_r,median_r,win_rate,profit_factor,max_dd_r,best_trade_r,worst_trade_r,losing_streak,std_r,t_score
1d,LONG,2023-09-02 00:00:00+00:00,2024-02-29 00:00:00+00:00,49,76,105.01505037159471,1.3817769785736147,-0.0574049540786021,0.4868421052631579,5.188980809248371,-16.732907402826452,117.36378555488253,-1.030443966171496,17,13.523992043119115,0.890717207302383
1d,LONG,2023-12-01 00:00:00+00:00,2024-05-29 00:00:00+00:00,36,48,2.2949442801046707,0.047811339168847306,0.0012153525344350499,0.6666666666666666,1.2104607758953612,-7.099615012585434,7.919553054950002,-1.0395977848816147,4,1.2875922260493566,0.2572605424077082
1d,LONG,2024-02-29 00:00:00+00:00,2024-08-27 00:00:00+00:00,30,37,-20.873582872977316,-0.5641508884588464,-1.0078786990384707,0.35135135135135137,0.07230376517542399,-21.250659574229534,0.8926991945901036,-1.0504699339161827,17,0.5647731383355293,-6.0760607274371194
1d,LONG,2024-05-29 00:00:00+00:00,2024-11-25 00:00:00+00:00,27,33,-18.103481153480836,-0.5485903379842677,-1.0131770090744483,0.2727272727272727,0.24241035740092998,-21.839422954485272,4.007168121406358,-1.0504699339161827,17,1.0100403930648227,-3.120084687181262
1d,LONG,2024-08-27 00:00:00+00:00,2025-02-23 00:00:00+00:00,46,48,-14.060027406304837,-0.29291723763135075,-0.23202425214636263,0.4375,0.3358710484206276,-13.074204966715332,4.007168121406358,-1.0341130587302918,10,0.8540309598323726,-2.376248927040335
1d,LONG,2024-11-25 00:00:00+00:00,2025-05-24 00:00:00+00:00,34,38,-14.988878100967392,-0.3944441605517735,-0.252842636765503,0.34210526315789475,0.09879091248506056,-15.842419881769944,0.3328155336358447,-1.0354741314434053,10,0.48376019478986276,-5.026286025353751
1d,LONG,2025-02-23 00:00:00+00:00,2025-08-22 00:00:00+00:00,26,36,296.00701781340314,8.22241716148342,-1.0112851040148412,0.19444444444444445,12.515867616349404,-14.892575407686413,315.5776370107389,-1.0354741314434053,18,52.70078518672621,0.9361246287716876
1d,LONG,2025-05-24 00:00:00+00:00,2025-11-20 00:00:00+00:00,33,44,290.63658246402946,6.605376874182488,-1.0112851040148412,0.1590909090909091,9.196603047155493,-13.367646843819841,315.5776370107389,-1.0268427498918096,14,47.679741325109234,0.9189461218413484
1d,LONG,2025-08-22 00:00:00+00:00,2026-02-18 00:00:00+00:00,19,20,-13.355228477936395,-0.6677614238968197,-1.0071125880924423,0.05,0.2606656691656536,-18.06385544529615,4.708626967359756,-1.0470547768153162,19,1.2720078788392442,-2.3477212074313676
1d,LONG,2025-11-20 00:00:00+00:00,2026-05-19 00:00:00+00:00,8,11,-8.792696277984046,-0.7993360252712769,-1.0072128787350183,0.09090909090909091,5.410084681677977e-05,-8.084830995217743,0.0004757180511911,-1.0470547768153162,9,0.3354966492170357,-7.902009404343855
1d,LONG,2026-02-18 00:00:00+00:00,2026-08-17 00:00:00+00:00,4,6,-4.096487676507735,-0.6827479460846225,-0.8231176153909969,0.16666666666666666,0.00011611479170716758,-3.0855187537908044,0.0004757180511911,-1.0227647024542843,4,0.41719964800382003,-4.0085942038600475
ALL_TF,ALL,2023-09-02 00:00:00+00:00,2024-02-29 00:00:00+00:00,49,76,105.01505037159471,1.3817769785736147,-0.0574049540786021,0.4868421052631579,5.188980809248371,-16.732907402826452,117.36378555488253,-1.030443966171496,17,13.523992043119115,0.890717207302383
ALL_TF,ALL,2023-12-01 00:00:00+00:00,2024-05-29 00:00:00+00:00,36,48,2.2949442801046707,0.047811339168847306,0.0012153525344350499,0.6666666666666666,1.2104607758953612,-7.099615012585434,7.919553054950002,-1.0395977848816147,4,1.2875922260493566,0.2572605424077082
ALL_TF,ALL,2024-02-29 00:00:00+00:00,2024-08-27 00:00:00+00:00,30,37,-20.873582872977316,-0.5641508884588464,-1.0078786990384707,0.35135135135135137,0.07230376517542399,-21.250659574229534,0.8926991945901036,-1.0504699339161827,17,0.5647731383355293,-6.0760607274371194
ALL_TF,ALL,2024-05-29 00:00:00+00:00,2024-11-25 00:00:00+00:00,27,33,-18.103481153480836,-0.5485903379842677,-1.0131770090744483,0.2727272727272727,0.24241035740092998,-21.839422954485272,4.007168121406358,-1.0504699339161827,17,1.0100403930648227,-3.120084687181262
ALL_TF,ALL,2024-08-27 00:00:00+00:00,2025-02-23 00:00:00+00:00,46,48,-14.060027406304837,-0.29291723763135075,-0.23202425214636263,0.4375,0.3358710484206276,-13.074204966715332,4.007168121406358,-1.0341130587302918,10,0.8540309598323726,-2.376248927040335
ALL_TF,ALL,2024-11-25 00:00:00+00:00,2025-05-24 00:00:00+00:00,34,38,-14.988878100967392,-0.3944441605517735,-0.252842636765503,0.34210526315789475,0.09879091248506056,-15.842419881769944,0.3328155336358447,-1.0354741314434053,10,0.48376019478986276,-5.026286025353751
ALL_TF,ALL,2025-02-23 00:00:00+00:00,2025-08-22 00:00:00+00:00,26,36,296.00701781340314,8.22241716148342,-1.0112851040148412,0.19444444444444445,12.515867616349404,-14.892575407686413,315.5776370107389,-1.0354741314434053,18,52.70078518672621,0.9361246287716876
ALL_TF,ALL,2025-05-24 00:00:00+00:00,2025-11-20 00:00:00+00:00,33,44,290.63658246402946,6.605376874182488,-1.0112851040148412,0.1590909090909091,9.196603047155493,-13.367646843819841,315.5776370107389,-1.0268427498918096,14,47.679741325109234,0.9189461218413484
ALL_TF,ALL,2025-08-22 00:00:00+00:00,2026-02-18 00:00:00+00:00,19,20,-13.355228477936395,-0.6677614238968197,-1.0071125880924423,0.05,0.2606656691656536,-18.06385544529615,4.708626967359756,-1.0470547768153162,19,1.2720078788392442,-2.3477212074313676
ALL_TF,ALL,2025-11-20 00:00:00+00:00,2026-05-19 00:00:00+00:00,8,11,-8.792696277984046,-0.7993360252712769,-1.0072128787350183,0.09090909090909091,5.410084681677977e-05,-8.084830995217743,0.0004757180511911,-1.0470547768153162,9,0.3354966492170357,-7.902009404343855
ALL_TF,ALL,2026-02-18 00:00:00+00:00,2026-08-17 00:00:00+00:00,4,6,-4.096487676507735,-0.6827479460846225,-0.8231176153909969,0.16666666666666666,0.00011611479170716758,-3.0855187537908044,0.0004757180511911,-1.0227647024542843,4,0.41719964800382003,-4.0085942038600475
