pool,entry_date,exit_date,symbol,system,entry_price,exit_price,bars_held,net_r,pnl_usdt,exit_reason,regime,risk_pct
A,2021-01-28,2021-01-30,DOGE_USDT,Donchian,0.0364995,0.03077813,1,-1.0,-94.5,stop,BULL,0.35
A,2021-01-30,2021-02-02,XRP_USDT,Donchian,0.44372,0.35750714,2,-1.0,-94.1692,stop,BULL,0.35
A,2021-01-31,2021-05-19,GRT_USDT,Donchian,0.79448,0.54768857,107,-1.0,-94.1693,stop,MIXED,0.35
A,2021-02-02,2021-05-19,INJ_USDT,Donchian,11.5025,8.31858571,105,-1.0,-93.8397,stop,MIXED,0.35
A,2021-02-05,2021-05-19,ATOM_USDT,Donchian,12.19,9.83471429,102,-1.0,-93.8397,stop,MIXED,0.35
A,2021-01-23,2021-05-23,LINK_USDT,Donchian,24.8046,18.02551429,119,-1.0,-94.5,stop,BEAR,0.35
A,2021-02-03,2021-05-23,DOT_USDT,Donchian,20.8538,16.62194286,108,-1.0,-93.8397,stop,BEAR,0.35
A,2021-01-23,2021-05-24,AAVE_USDT,Donchian,213.304,387.06,120,2.8612,270.3818,backstop,BEAR,0.35
A,2021-01-24,2021-05-25,UNI_USDT,Donchian,12.0505,25.106,120,4.2682,403.3465,backstop,MIXED,0.35
A,2021-01-25,2021-05-26,ZEN_USDT,Donchian,34.617,108.62,120,6.6994,633.0891,backstop,MIXED,0.35
A,2021-01-29,2021-05-30,FET_USDT,Donchian,0.11164,0.30984,120,6.0157,568.4833,backstop,BEAR,0.35
A,2021-01-30,2021-05-31,SOL_USDT,Donchian,4.228,32.75,120,27.7544,2613.6104,backstop,MIXED,0.35
A,2021-02-01,2021-06-02,ADA_USDT,Donchian,0.40876,1.7534,120,14.6907,1383.4124,backstop,MIXED,0.35
A,2021-02-01,2021-06-02,BNB_USDT,Donchian,51.4781,401.54,120,49.8563,4694.9326,backstop,MIXED,0.35
A,2021-02-02,2021-06-03,ETH_USDT,Donchian,1511.87,2857.25,120,4.2524,399.0472,backstop,MIXED,0.35
A,2021-02-03,2021-06-04,CHZ_USDT,Donchian,0.024063,0.26967,120,51.4206,4825.295,backstop,MIXED,0.35
A,2021-05-19,2021-06-09,BTC_USDT,RSI_MR,36690.09,37388.05,20,0.0464,3.0768,time_exit,BEAR,0.25
A,2021-05-19,2021-06-09,FIL_USDT,RSI_MR,65.28,77.76,20,0.2362,15.6682,time_exit,BEAR,0.25
A,2021-05-25,2021-06-15,ICP_USDT,RSI_MR,134.04,60.39,20,-0.3747,-25.3067,time_exit,BEAR,0.25
A,2021-06-11,2021-07-02,LPT_USDT,RSI_MR,26.11,17.26428571,20,-1.0,-150.0,stop,BEAR,0.5
A,2021-06-15,2021-07-06,ICP_USDT,RSI_MR,60.39,46.2,20,-0.3132,-46.9756,time_exit,BEAR,0.5
