config,linreg_n,linreg_mult,stop_mult,chan_activate_r,chan_atr_mult,trades,total_r,avg_r,pf,max_dd_r,win_rate_pct,avg_mfe_r,chan_activated_pct,vs_t2_avg_r,vs_t2_pf,beats_t2
A,40,2.5,2.0,1.0,2.0,336,23.969568073014607,0.07133800021730538,1.145821140934092,-26.33883972716714,40.476190476190474,1.5096472968012642,48.214285714285715,-0.1657,-0.2472,False
A,40,2.5,2.0,1.0,2.5,322,11.614265943667316,0.03606914889337676,1.068993132213474,-30.4081097300189,32.608695652173914,1.6188113967735465,47.20496894409938,-0.2009,-0.324,False
A,40,2.5,2.0,1.0,3.0,310,-5.675774329994251,-0.018308949451594357,0.9679457700335263,-40.650920987236205,28.70967741935484,1.729174640953004,46.12903225806452,-0.2553,-0.4251,False
A,40,2.5,2.0,1.5,2.0,324,30.22776040547629,0.09329555680702559,1.1701634584717646,-28.526834013343873,35.80246913580247,1.607467881594192,35.49382716049383,-0.1437,-0.2228,False
A,40,2.5,2.0,1.5,2.5,315,24.669829874872192,0.0783169202376895,1.1421859463316564,-30.531855520931614,34.92063492063492,1.7000736887769274,34.92063492063492,-0.1587,-0.2508,False
A,40,2.5,2.0,1.5,3.0,305,5.4469785136856945,0.017858945946510475,1.030788932415542,-37.92649499107162,30.491803278688522,1.7816433665359357,34.09836065573771,-0.2191,-0.3622,False
A,40,2.5,2.0,2.0,2.0,313,42.80958428603138,0.13677183477965296,1.240424798008653,-29.569833219771837,32.9073482428115,1.7024402555576583,28.43450479233227,-0.1002,-0.1526,False
A,40,2.5,2.0,2.0,2.5,308,29.27455187668911,0.09504724635288672,1.1654756440104905,-33.34955446575341,32.142857142857146,1.7539422299959002,28.246753246753247,-0.142,-0.2275,False
A,40,2.5,2.0,2.0,3.0,302,9.990732574569062,0.03308189594228166,1.056348186425587,-37.85236281839629,30.79470198675497,1.8023736808046427,27.483443708609272,-0.2039,-0.3367,False
A,40,2.5,2.0,2.5,2.0,305,46.50578641865044,0.1524779882578703,1.2629511727884761,-24.15296248451788,30.81967213114754,1.7747838671486187,23.60655737704918,-0.0845,-0.13,False
A,40,2.5,2.0,2.5,2.5,301,37.13996571434714,0.12338859041311342,1.2129204919146135,-28.142281353445014,30.564784053156146,1.8224459994880673,23.588039867109636,-0.1136,-0.1801,False
A,40,2.5,2.0,2.5,3.0,296,18.954104367770263,0.06403413637760225,1.108418741385825,-33.575278798737145,29.39189189189189,1.8642352565874973,22.635135135135137,-0.173,-0.2846,False
A,40,2.5,2.0,3.0,2.0,300,39.22261765007453,0.13074205883358178,1.2181035682737575,-28.346194354871237,28.666666666666668,1.789569327122446,19.333333333333332,-0.1063,-0.1749,False
A,40,2.5,2.0,3.0,2.5,296,36.388635362999956,0.1229345789290539,1.2069478260458708,-26.91434235481214,29.054054054054053,1.843266377597812,19.594594594594593,-0.1141,-0.1861,False
A,40,2.5,2.0,3.0,3.0,295,16.032594701653707,0.054347778649673585,1.0909770432805794,-32.99445896227844,28.8135593220339,1.8567523977212852,19.661016949152543,-0.1827,-0.302,False
B,55,3.0,2.0,1.0,2.0,258,28.980855128983247,0.11232889584877227,1.215864776707838,-16.14121980559316,44.57364341085272,1.6520760255242632,51.16279069767442,-0.2501,-0.3121,False
B,55,3.0,2.0,1.0,2.5,249,28.484595748433645,0.1143959668611793,1.2087803339485432,-16.91967218010043,34.93975903614458,1.7910523885615217,51.80722891566265,-0.248,-0.3192,False
B,55,3.0,2.0,1.0,3.0,240,28.183404838818465,0.11743085349507694,1.200463530375278,-16.709345270739544,34.166666666666664,1.93177997074151,50.0,-0.245,-0.3275,False
B,55,3.0,2.0,1.5,2.0,247,35.884700323869424,0.14528218754603006,1.2380873576826246,-13.689673738222233,36.43724696356275,1.8083702710314904,38.8663967611336,-0.2171,-0.2899,False
