config,linreg_n,linreg_mult,stop_mult,chan_activate_r,chan_atr_mult,trades,total_r,avg_r,pf,max_dd_r,win_rate_pct,avg_mfe_r,chan_activated_pct,vs_t2_avg_r,vs_t2_pf,beats_t2
B,55,3.0,2.0,3.0,2.5,224,58.88965296091018,0.26290023643263477,1.403404437022924,-14.376774712027858,30.80357142857143,2.1286961042492583,25.0,-0.0995,-0.1246,False
B,55,3.0,2.0,2.5,2.5,232,49.06140183537096,0.21147155963521966,1.3281537440144062,-18.298434582875075,31.896551724137932,2.0367491588836995,28.879310344827587,-0.1509,-0.1998,False
B,55,3.0,2.0,3.0,3.0,223,48.929064170962775,0.21941284381597656,1.3374844871078397,-14.989606215848125,30.94170403587444,2.1644697403226947,25.112107623318387,-0.143,-0.1905,False
B,55,3.0,2.0,3.0,2.0,230,45.785419314732636,0.19906704049883756,1.3032515115664414,-14.079292793999464,30.434782608695656,2.006947411299225,24.347826086956523,-0.1633,-0.2247,False
B,55,3.0,2.0,2.5,3.0,230,42.53869872422973,0.18495086401839014,1.2864416758285533,-22.327087779647982,31.73913043478261,2.101299519127192,28.695652173913043,-0.1774,-0.2416,False
B,55,3.0,2.0,2.5,2.0,237,41.09444025070712,0.1733942626612115,1.2677033772575064,-15.454251714028187,31.645569620253166,1.9245275615809794,28.270042194092827,-0.189,-0.2603,False
B,55,3.0,2.0,2.0,2.0,240,41.08671358797694,0.17119463994990392,1.2706095179185928,-12.0,33.75,1.8746794398293807,32.916666666666664,-0.1912,-0.2574,False
B,55,3.0,2.0,1.5,2.5,239,36.36117672584861,0.15213881475250463,1.2478257622961355,-14.494951714766804,35.98326359832636,1.910984958927674,39.33054393305439,-0.2103,-0.2802,False
B,55,3.0,2.0,2.0,2.5,235,36.172826686378556,0.153926922069696,1.2414253741254986,-13.878999521448005,33.191489361702125,1.9469679965831062,33.191489361702125,-0.2085,-0.2866,False
B,55,3.0,2.0,1.5,2.0,247,35.884700323869424,0.14528218754603006,1.2380873576826246,-13.689673738222233,36.43724696356275,1.8083702710314904,38.8663967611336,-0.2171,-0.2899,False
B,55,3.0,2.0,2.0,3.0,233,29.34538697514312,0.1259458668461078,1.1971735242876678,-18.56084936495835,33.047210300429185,2.0173157876431134,33.047210300429185,-0.2365,-0.3308,False
B,55,3.0,2.0,1.0,2.0,258,28.980855128983247,0.11232889584877227,1.215864776707838,-16.14121980559316,44.57364341085272,1.6520760255242632,51.16279069767442,-0.2501,-0.3121,False
B,55,3.0,2.0,1.0,2.5,249,28.484595748433645,0.1143959668611793,1.2087803339485432,-16.91967218010043,34.93975903614458,1.7910523885615217,51.80722891566265,-0.248,-0.3192,False
B,55,3.0,2.0,1.0,3.0,240,28.183404838818465,0.11743085349507694,1.200463530375278,-16.709345270739544,34.166666666666664,1.93177997074151,50.0,-0.245,-0.3275,False
B,55,3.0,2.0,1.5,3.0,236,28.11364607518231,0.1191256189626369,1.1916133193938379,-19.592045062129333,35.16949152542373,1.9778612219482814,38.13559322033898,-0.2433,-0.3364,False
