timeframe,filter_mode,rsi_n,oversold,exit_rsi,atr_mult,time_exit_bars,num_trades,win_rate,avg_r,profit_factor,max_dd_r,avg_bars_held,total_r
4h,none,5,10,50,2.0,5,356,0.573,0.0426,1.1421,7.48,3.8,15.15
4h,none,5,10,50,2.0,10,352,0.5455,-0.0006,0.9983,13.42,5.3,-0.23
4h,none,5,10,50,2.0,15,352,0.5739,0.0363,1.0977,12.18,5.9,12.79
4h,none,5,10,50,2.0,20,352,0.5795,0.0325,1.0865,12.83,6.0,11.44
4h,none,5,10,50,3.0,5,346,0.6532,0.0723,1.4064,4.34,4.1,25.01
4h,none,5,10,50,3.0,10,340,0.6147,0.0385,1.1644,8.23,6.1,13.09
4h,none,5,10,50,3.0,15,336,0.6667,0.0857,1.3989,6.65,6.9,28.78
4h,none,5,10,50,3.0,20,336,0.6726,0.0854,1.3952,6.75,7.1,28.69
4h,none,5,10,50,4.0,5,342,0.6754,0.079,1.7107,4.16,4.3,27.0
4h,none,5,10,50,4.0,10,333,0.6426,0.0488,1.3083,5.21,6.5,16.24
4h,none,5,10,50,4.0,15,328,0.7043,0.0871,1.6176,4.33,7.4,28.57
4h,none,5,10,50,4.0,20,327,0.7095,0.0874,1.6203,4.19,7.6,28.58
4h,none,5,10,55,2.0,5,356,0.5646,0.0441,1.144,7.17,3.9,15.71
4h,none,5,10,55,2.0,10,352,0.5256,-0.0058,0.9852,17.39,5.9,-2.03
4h,none,5,10,55,2.0,15,352,0.5597,0.0368,1.0931,11.8,6.6,12.94
4h,none,5,10,55,2.0,20,352,0.5625,0.0323,1.0804,13.37,6.8,11.36
4h,none,5,10,55,3.0,5,346,0.6445,0.0777,1.4292,4.34,4.3,26.88
4h,none,5,10,55,3.0,10,339,0.5988,0.0422,1.1726,7.76,6.6,14.3
4h,none,5,10,55,3.0,15,335,0.6657,0.0913,1.3928,6.11,7.7,30.57
4h,none,5,10,55,3.0,20,335,0.6716,0.0903,1.3839,7.06,8.0,30.26
4h,none,5,10,55,4.0,5,342,0.6667,0.0822,1.7246,4.35,4.5,28.13
4h,none,5,10,55,4.0,10,332,0.6265,0.0532,1.3202,5.0,7.1,17.67
4h,none,5,10,55,4.0,15,326,0.7025,0.0945,1.6145,3.85,8.3,30.81
4h,none,5,10,55,4.0,20,324,0.7099,0.0898,1.5618,4.62,8.6,29.1
4h,none,5,10,60,2.0,5,356,0.5365,0.0121,1.0371,14.34,4.1,4.3
4h,none,5,10,60,2.0,10,352,0.483,-0.0459,0.8897,28.63,6.6,-16.15
4h,none,5,10,60,2.0,15,352,0.5114,0.0078,1.018,16.07,7.7,2.76
4h,none,5,10,60,2.0,20,352,0.5085,-0.0122,0.9733,21.01,8.1,-4.28
4h,none,5,10,60,3.0,5,346,0.6156,0.0551,1.2845,4.93,4.5,19.06
4h,none,5,10,60,3.0,10,339,0.5546,0.0166,1.0631,10.57,7.5,5.63
4h,none,5,10,60,3.0,15,335,0.6209,0.077,1.2947,5.62,9.2,25.8
4h,none,5,10,60,3.0,20,335,0.6328,0.0609,1.217,7.09,9.8,20.42
4h,none,5,10,60,4.0,5,342,0.6374,0.0653,1.529,5.85,4.7,22.35
4h,none,5,10,60,4.0,10,332,0.5873,0.0383,1.2142,6.0,7.9,12.72
4h,none,5,10,60,4.0,15,325,0.6615,0.086,1.4901,5.53,9.8,27.93
4h,none,5,10,60,4.0,20,323,0.6811,0.07,1.3579,5.72,10.5,22.61
4h,none,5,10,65,2.0,5,356,0.5309,0.0139,1.0423,14.58,4.2,4.94
4h,none,5,10,65,2.0,10,352,0.4773,-0.03,0.928,28.81,7.0,-10.55
4h,none,5,10,65,2.0,15,352,0.4858,0.0419,1.0945,14.56,8.6,14.74
4h,none,5,10,65,2.0,20,351,0.4701,0.0044,1.0091,23.73,9.3,1.55
4h,none,5,10,65,3.0,5,346,0.6098,0.0553,1.2836,4.93,4.6,19.14
4h,none,5,10,65,3.0,10,339,0.5457,0.0274,1.1039,11.37,8.0,9.29
4h,none,5,10,65,3.0,15,335,0.594,0.1036,1.3815,6.47,10.2,34.7
4h,none,5,10,65,3.0,20,334,0.6018,0.0704,1.2262,8.17,11.3,23.5
4h,none,5,10,65,4.0,5,342,0.6316,0.0654,1.5252,5.85,4.8,22.37
4h,none,5,10,65,4.0,10,332,0.5753,0.0438,1.2438,6.65,8.5,14.53
4h,none,5,10,65,4.0,15,325,0.6369,0.1044,1.5658,5.14,11.0,33.92
4h,none,5,10,65,4.0,20,322,0.646,0.0747,1.3384,6.16,12.3,24.04
4h,none,5,15,50,2.0,5,873,0.5349,0.0046,1.0151,17.53,3.9,4.02
4h,none,5,15,50,2.0,10,827,0.5236,-0.0493,0.8729,43.48,5.3,-40.79
4h,none,5,15,50,2.0,15,816,0.5417,-0.0425,0.8918,38.51,5.7,-34.67
4h,none,5,15,50,2.0,20,813,0.5449,-0.0448,0.8868,40.27,5.8,-36.43
4h,none,5,15,50,3.0,5,852,0.5657,0.0108,1.0534,11.84,4.2,9.19
4h,none,5,15,50,3.0,10,776,0.5515,-0.0399,0.8542,31.74,6.0,-30.94
4h,none,5,15,50,3.0,15,759,0.6008,-0.0047,0.9814,10.57,6.9,-3.58
4h,none,5,15,50,3.0,20,755,0.6026,-0.0046,0.9819,10.34,7.1,-3.46
4h,none,5,15,50,4.0,5,840,0.5655,0.0257,1.1929,7.03,4.3,21.55
4h,none,5,15,50,4.0,10,764,0.5838,-0.0043,0.9766,7.27,6.4,-3.27
4h,none,5,15,50,4.0,15,739,0.6401,0.0196,1.1139,6.6,7.4,14.49
4h,none,5,15,50,4.0,20,733,0.6426,0.0223,1.131,6.25,7.6,16.33
4h,none,5,15,55,2.0,5,872,0.5195,-0.0007,0.9978,20.13,4.1,-0.61
4h,none,5,15,55,2.0,10,825,0.4812,-0.0766,0.8152,66.66,5.9,-63.21
4h,none,5,15,55,2.0,15,811,0.5055,-0.0682,0.842,60.4,6.6,-55.31
4h,none,5,15,55,2.0,20,805,0.5168,-0.0707,0.8386,62.01,6.8,-56.91
4h,none,5,15,55,3.0,5,851,0.5488,0.0067,1.0321,12.99,4.4,5.68
4h,none,5,15,55,3.0,10,773,0.511,-0.0543,0.8135,44.0,6.7,-42.0
4h,none,5,15,55,3.0,15,753,0.5724,-0.0171,0.9388,18.09,8.0,-12.9
4h,none,5,15,55,3.0,20,743,0.5841,-0.0202,0.9295,19.14,8.3,-14.99
4h,none,5,15,55,4.0,5,839,0.5483,0.0227,1.166,7.23,4.5,19.08
4h,none,5,15,55,4.0,10,761,0.5466,-0.0138,0.9293,12.82,7.2,-10.53
4h,none,5,15,55,4.0,15,733,0.6139,0.0103,1.053,5.88,8.6,7.56
4h,none,5,15,55,4.0,20,721,0.6311,0.005,1.0249,6.42,9.0,3.64
4h,none,5,15,60,2.0,5,872,0.5057,-0.0051,0.984,25.78,4.2,-4.45
4h,none,5,15,60,2.0,10,824,0.4381,-0.1058,0.7609,89.9,6.5,-87.19
4h,none,5,15,60,2.0,15,802,0.4613,-0.0825,0.8246,72.17,7.6,-66.14
4h,none,5,15,60,2.0,20,792,0.4735,-0.0959,0.8045,82.28,7.9,-75.93
4h,none,5,15,60,3.0,5,851,0.5347,0.0053,1.0249,14.5,4.5,4.5
4h,none,5,15,60,3.0,10,771,0.463,-0.0722,0.7668,57.31,7.4,-55.63
4h,none,5,15,60,3.0,15,744,0.5363,-0.026,0.9152,23.68,9.2,-19.38
4h,none,5,15,60,3.0,20,731,0.5568,-0.0438,0.868,36.3,9.9,-32.04
4h,none,5,15,60,4.0,5,839,0.534,0.0215,1.1527,7.11,4.7,18.03
4h,none,5,15,60,4.0,10,759,0.502,-0.0234,0.8886,19.27,7.9,-17.73
4h,none,5,15,60,4.0,15,722,0.5817,0.0079,1.0366,7.56,9.9,5.73
4h,none,5,15,60,4.0,20,706,0.6105,-0.0102,0.9576,11.64,10.8,-7.19
4h,none,5,15,65,2.0,5,872,0.5023,0.0039,1.0121,24.9,4.3,3.4
4h,none,5,15,65,2.0,10,824,0.4187,-0.1049,0.7666,90.48,6.9,-86.42
4h,none,5,15,65,2.0,15,802,0.4439,-0.0567,0.8827,52.93,8.4,-45.44
4h,none,5,15,65,2.0,20,788,0.4429,-0.0866,0.8336,76.09,8.9,-68.27
4h,none,5,15,65,3.0,5,851,0.5311,0.0099,1.0459,14.44,4.6,8.39
4h,none,5,15,65,3.0,10,771,0.4436,-0.0691,0.7798,56.01,7.8,-53.28
4h,none,5,15,65,3.0,15,744,0.5202,-0.004,0.9876,18.22,10.1,-2.94
4h,none,5,15,65,3.0,20,727,0.5365,-0.0354,0.9018,33.48,11.3,-25.76
4h,none,5,15,65,4.0,5,839,0.5304,0.0248,1.1746,7.2,4.7,20.83
4h,none,5,15,65,4.0,10,758,0.4736,-0.023,0.8926,19.49,8.4,-17.43
4h,none,5,15,65,4.0,15,721,0.5617,0.0235,1.1032,7.75,11.0,16.93
4h,none,5,15,65,4.0,20,701,0.5849,-0.0039,0.9853,11.92,12.4,-2.72
4h,none,5,20,50,2.0,5,1538,0.5137,-0.0202,0.93,36.3,4.0,-31.11
4h,none,5,20,50,2.0,10,1386,0.5368,-0.0607,0.8353,86.97,5.4,-84.06
4h,none,5,20,50,2.0,15,1359,0.5563,-0.0628,0.834,86.94,5.8,-85.33
4h,none,5,20,50,2.0,20,1353,0.5588,-0.0634,0.833,87.34,5.9,-85.73
4h,none,5,20,50,3.0,5,1482,0.5263,-0.0208,0.8965,34.68,4.2,-30.86
4h,none,5,20,50,3.0,10,1283,0.5604,-0.0609,0.7723,80.11,6.1,-78.19
4h,none,5,20,50,3.0,15,1235,0.596,-0.0452,0.8283,57.43,6.9,-55.82
4h,none,5,20,50,3.0,20,1222,0.5949,-0.0457,0.826,58.09,7.1,-55.89
4h,none,5,20,50,4.0,5,1461,0.527,-0.0116,0.9209,20.32,4.3,-16.97
4h,none,5,20,50,4.0,10,1237,0.5724,-0.0468,0.7689,58.85,6.4,-57.94
4h,none,5,20,50,4.0,15,1160,0.6086,-0.0389,0.8074,45.79,7.5,-45.08
4h,none,5,20,50,4.0,20,1142,0.6077,-0.0375,0.8128,43.79,7.7,-42.84
4h,none,5,20,55,2.0,5,1537,0.5023,-0.0169,0.9424,32.0,4.2,-25.96
4h,none,5,20,55,2.0,10,1374,0.4869,-0.0812,0.7947,116.09,6.0,-111.58
4h,none,5,20,55,2.0,15,1341,0.5175,-0.0825,0.8026,114.78,6.7,-110.61
4h,none,5,20,55,2.0,20,1322,0.5219,-0.0895,0.789,120.25,6.9,-118.33
4h,none,5,20,55,3.0,5,1481,0.5132,-0.0188,0.9081,33.1,4.4,-27.78
4h,none,5,20,55,3.0,10,1266,0.5079,-0.0764,0.7358,99.1,6.7,-96.76
4h,none,5,20,55,3.0,15,1207,0.5584,-0.06,0.7955,74.99,8.0,-72.46
4h,none,5,20,55,3.0,20,1180,0.5619,-0.0674,0.7751,81.79,8.5,-79.51
4h,none,5,20,55,4.0,5,1460,0.5144,-0.0105,0.9296,20.85,4.5,-15.32
4h,none,5,20,55,4.0,10,1220,0.5238,-0.0582,0.7341,72.07,7.1,-71.03
4h,none,5,20,55,4.0,15,1133,0.5763,-0.0504,0.7771,58.12,8.7,-57.13
4h,none,5,20,55,4.0,20,1097,0.5779,-0.0602,0.7435,67.15,9.3,-66.07
4h,none,5,20,60,2.0,5,1535,0.4977,-0.0091,0.9691,22.59,4.3,-14.0
4h,none,5,20,60,2.0,10,1367,0.447,-0.1001,0.7606,141.12,6.5,-136.89
4h,none,5,20,60,2.0,15,1321,0.4815,-0.0934,0.7933,125.79,7.6,-123.43
4h,none,5,20,60,2.0,20,1295,0.4981,-0.0977,0.7896,129.5,8.0,-126.52
4h,none,5,20,60,3.0,5,1479,0.5078,-0.014,0.9319,27.32,4.5,-20.71
4h,none,5,20,60,3.0,10,1256,0.4562,-0.0931,0.6985,119.77,7.3,-116.96
4h,none,5,20,60,3.0,15,1183,0.5393,-0.0653,0.7953,78.89,9.1,-77.26
4h,none,5,20,60,3.0,20,1152,0.5582,-0.076,0.773,90.18,9.8,-87.5
4h,none,5,20,60,4.0,5,1458,0.5089,-0.0072,0.9523,19.05,4.6,-10.45
4h,none,5,20,60,4.0,10,1208,0.4793,-0.0687,0.7074,84.66,7.7,-82.95
4h,none,5,20,60,4.0,15,1109,0.5591,-0.0533,0.7836,60.12,9.8,-59.06
4h,none,5,20,60,4.0,20,1071,0.578,-0.0699,0.7379,76.44,10.8,-74.9
4h,none,5,20,65,2.0,5,1535,0.4945,-0.0019,0.9937,20.2,4.4,-2.85
4h,none,5,20,65,2.0,10,1366,0.4253,-0.1001,0.7648,139.97,7.0,-136.78
4h,none,5,20,65,2.0,15,1311,0.4539,-0.0826,0.8251,111.04,8.5,-108.35
4h,none,5,20,65,2.0,20,1277,0.4683,-0.0931,0.812,120.67,9.1,-118.95
4h,none,5,20,65,3.0,5,1479,0.5044,-0.0096,0.9535,26.32,4.6,-14.22
4h,none,5,20,65,3.0,10,1253,0.435,-0.0902,0.7127,115.06,7.8,-113.03
