variant,time,open_positions,open_longs,accepted_signals_this_time,portfolio_heat_pct
T5_LINREG_B_max8,2026-04-30 00:00:00+00:00,2,2,1,0.5
T5_LINREG_B_max8,2026-05-06 00:00:00+00:00,1,1,1,0.25
T5_LINREG_B_max8,2026-05-08 00:00:00+00:00,1,1,1,0.25
T5_LINREG_B_max10,2024-05-17 00:00:00+00:00,1,1,1,0.25
T5_LINREG_B_max10,2024-05-20 00:00:00+00:00,4,4,1,1.0
T5_LINREG_B_max10,2024-05-23 00:00:00+00:00,5,5,1,1.25
T5_LINREG_B_max10,2024-05-25 00:00:00+00:00,6,6,1,1.5
T5_LINREG_B_max10,2024-05-29 00:00:00+00:00,6,6,1,1.5
T5_LINREG_B_max10,2024-06-03 00:00:00+00:00,7,7,1,1.75
T5_LINREG_B_max10,2024-06-04 00:00:00+00:00,7,7,1,1.75
T5_LINREG_B_max10,2024-06-05 00:00:00+00:00,8,8,1,2.0
T5_LINREG_B_max10,2024-06-06 00:00:00+00:00,8,8,1,2.0
T5_LINREG_B_max10,2024-07-15 00:00:00+00:00,6,6,1,1.5
T5_LINREG_B_max10,2024-07-19 00:00:00+00:00,7,7,1,1.75
T5_LINREG_B_max10,2024-07-20 00:00:00+00:00,8,8,1,2.0
T5_LINREG_B_max10,2024-08-12 00:00:00+00:00,1,1,1,0.25
T5_LINREG_B_max10,2024-08-20 00:00:00+00:00,3,3,1,0.75
T5_LINREG_B_max10,2024-08-25 00:00:00+00:00,2,2,1,0.5
T5_LINREG_B_max10,2024-09-18 00:00:00+00:00,1,1,1,0.25
T5_LINREG_B_max10,2024-09-21 00:00:00+00:00,3,3,1,0.75
T5_LINREG_B_max10,2024-09-23 00:00:00+00:00,3,3,1,0.75
T5_LINREG_B_max10,2024-09-26 00:00:00+00:00,4,4,1,1.0
T5_LINREG_B_max10,2024-10-07 00:00:00+00:00,4,4,1,1.0
T5_LINREG_B_max10,2024-10-10 00:00:00+00:00,1,1,1,0.25
T5_LINREG_B_max10,2024-10-18 00:00:00+00:00,2,2,1,0.5
T5_LINREG_B_max10,2024-10-19 00:00:00+00:00,2,2,1,0.5
T5_LINREG_B_max10,2024-10-20 00:00:00+00:00,4,4,1,1.0
T5_LINREG_B_max10,2024-10-28 00:00:00+00:00,1,1,1,0.25
T5_LINREG_B_max10,2024-11-06 00:00:00+00:00,2,2,1,0.5
T5_LINREG_B_max10,2024-11-07 00:00:00+00:00,5,5,1,1.25
T5_LINREG_B_max10,2024-11-08 00:00:00+00:00,7,7,1,1.75
T5_LINREG_B_max10,2024-11-10 00:00:00+00:00,10,10,0,2.5
T5_LINREG_B_max10,2024-11-11 00:00:00+00:00,10,10,0,2.5
T5_LINREG_B_max10,2024-11-12 00:00:00+00:00,10,10,1,2.5
T5_LINREG_B_max10,2024-11-13 00:00:00+00:00,8,8,1,2.0
T5_LINREG_B_max10,2024-11-14 00:00:00+00:00,7,7,1,1.75
T5_LINREG_B_max10,2024-11-15 00:00:00+00:00,8,8,1,2.0
T5_LINREG_B_max10,2024-11-16 00:00:00+00:00,10,10,0,2.5
T5_LINREG_B_max10,2024-11-22 00:00:00+00:00,10,10,0,2.5
T5_LINREG_B_max10,2024-11-23 00:00:00+00:00,10,10,0,2.5
T5_LINREG_B_max10,2024-11-24 00:00:00+00:00,10,10,0,2.5
T5_LINREG_B_max10,2024-11-27 00:00:00+00:00,10,10,1,2.5
T5_LINREG_B_max10,2024-11-28 00:00:00+00:00,10,10,0,2.5
T5_LINREG_B_max10,2024-11-30 00:00:00+00:00,10,10,0,2.5
T5_LINREG_B_max10,2024-12-01 00:00:00+00:00,10,10,0,2.5
T5_LINREG_B_max10,2024-12-02 00:00:00+00:00,10,10,0,2.5
T5_LINREG_B_max10,2024-12-03 00:00:00+00:00,10,10,0,2.5
T5_LINREG_B_max10,2024-12-12 00:00:00+00:00,2,2,1,0.5
T5_LINREG_B_max10,2024-12-14 00:00:00+00:00,2,2,1,0.5
T5_LINREG_B_max10,2024-12-21 00:00:00+00:00,1,1,1,0.25
T5_LINREG_B_max10,2024-12-25 00:00:00+00:00,1,1,1,0.25
T5_LINREG_B_max10,2024-12-28 00:00:00+00:00,1,1,1,0.25
T5_LINREG_B_max10,2024-12-29 00:00:00+00:00,1,1,1,0.25
T5_LINREG_B_max10,2025-01-02 00:00:00+00:00,2,2,1,0.5
T5_LINREG_B_max10,2025-01-18 00:00:00+00:00,1,1,1,0.25
T5_LINREG_B_max10,2025-01-27 00:00:00+00:00,1,1,1,0.25
T5_LINREG_B_max10,2025-01-29 00:00:00+00:00,1,1,1,0.25
T5_LINREG_B_max10,2025-02-25 00:00:00+00:00,1,1,1,0.25
T5_LINREG_B_max10,2025-03-02 00:00:00+00:00,1,1,1,0.25
T5_LINREG_B_max10,2025-03-10 00:00:00+00:00,1,1,1,0.25
T5_LINREG_B_max10,2025-04-12 00:00:00+00:00,1,1,1,0.25
T5_LINREG_B_max10,2025-04-13 00:00:00+00:00,2,2,1,0.5
T5_LINREG_B_max10,2025-04-14 00:00:00+00:00,2,2,1,0.5
T5_LINREG_B_max10,2025-04-15 00:00:00+00:00,3,3,1,0.75
T5_LINREG_B_max10,2025-04-22 00:00:00+00:00,2,2,1,0.5
T5_LINREG_B_max10,2025-04-23 00:00:00+00:00,3,3,1,0.75
T5_LINREG_B_max10,2025-05-06 00:00:00+00:00,4,4,1,1.0
T5_LINREG_B_max10,2025-05-08 00:00:00+00:00,3,3,1,0.75
T5_LINREG_B_max10,2025-05-09 00:00:00+00:00,4,4,1,1.0
T5_LINREG_B_max10,2025-05-10 00:00:00+00:00,10,10,0,2.5
T5_LINREG_B_max10,2025-05-12 00:00:00+00:00,10,10,1,2.5
T5_LINREG_B_max10,2025-06-10 00:00:00+00:00,2,2,1,0.5
T5_LINREG_B_max10,2025-07-09 00:00:00+00:00,1,1,1,0.25
T5_LINREG_B_max10,2025-07-10 00:00:00+00:00,6,6,1,1.5
T5_LINREG_B_max10,2025-07-11 00:00:00+00:00,9,9,1,2.25
T5_LINREG_B_max10,2025-07-12 00:00:00+00:00,10,10,0,2.5
T5_LINREG_B_max10,2025-07-15 00:00:00+00:00,10,10,0,2.5
T5_LINREG_B_max10,2025-07-17 00:00:00+00:00,10,10,0,2.5
T5_LINREG_B_max10,2025-07-18 00:00:00+00:00,10,10,0,2.5
T5_LINREG_B_max10,2025-07-20 00:00:00+00:00,10,10,0,2.5
T5_LINREG_B_max10,2025-07-21 00:00:00+00:00,10,10,0,2.5
T5_LINREG_B_max10,2025-07-25 00:00:00+00:00,9,9,1,2.25
T5_LINREG_B_max10,2025-07-27 00:00:00+00:00,10,10,0,2.5
T5_LINREG_B_max10,2025-08-08 00:00:00+00:00,3,3,1,0.75
T5_LINREG_B_max10,2025-08-13 00:00:00+00:00,3,3,1,0.75
T5_LINREG_B_max10,2025-08-19 00:00:00+00:00,2,2,1,0.5
T5_LINREG_B_max10,2025-08-21 00:00:00+00:00,2,2,1,0.5
T5_LINREG_B_max10,2025-09-10 00:00:00+00:00,1,1,1,0.25
T5_LINREG_B_max10,2025-09-12 00:00:00+00:00,2,2,1,0.5
T5_LINREG_B_max10,2025-09-18 00:00:00+00:00,3,3,1,0.75
T5_LINREG_B_max10,2025-09-20 00:00:00+00:00,4,4,1,1.0
T5_LINREG_B_max10,2025-09-26 00:00:00+00:00,1,1,1,0.25
T5_LINREG_B_max10,2025-09-28 00:00:00+00:00,1,1,1,0.25
T5_LINREG_B_max10,2025-09-30 00:00:00+00:00,2,2,1,0.5
T5_LINREG_B_max10,2025-10-02 00:00:00+00:00,2,2,1,0.5
T5_LINREG_B_max10,2025-10-03 00:00:00+00:00,3,3,1,0.75
T5_LINREG_B_max10,2025-10-09 00:00:00+00:00,4,4,1,1.0
T5_LINREG_B_max10,2025-10-14 00:00:00+00:00,1,1,1,0.25
T5_LINREG_B_max10,2025-10-27 00:00:00+00:00,1,1,1,0.25
T5_LINREG_B_max10,2025-11-04 00:00:00+00:00,2,2,1,0.5
T5_LINREG_B_max10,2025-11-05 00:00:00+00:00,3,3,1,0.75
T5_LINREG_B_max10,2025-11-07 00:00:00+00:00,4,4,1,1.0
T5_LINREG_B_max10,2025-11-10 00:00:00+00:00,4,4,1,1.0
T5_LINREG_B_max10,2025-11-12 00:00:00+00:00,4,4,1,1.0
T5_LINREG_B_max10,2026-01-05 00:00:00+00:00,1,1,1,0.25
T5_LINREG_B_max10,2026-01-14 00:00:00+00:00,1,1,1,0.25
T5_LINREG_B_max10,2026-01-15 00:00:00+00:00,2,2,1,0.5
T5_LINREG_B_max10,2026-01-17 00:00:00+00:00,2,2,1,0.5
T5_LINREG_B_max10,2026-01-19 00:00:00+00:00,2,2,1,0.5
T5_LINREG_B_max10,2026-01-20 00:00:00+00:00,1,1,1,0.25
T5_LINREG_B_max10,2026-01-25 00:00:00+00:00,2,2,1,0.5
T5_LINREG_B_max10,2026-02-06 00:00:00+00:00,1,1,1,0.25
T5_LINREG_B_max10,2026-02-10 00:00:00+00:00,2,2,1,0.5
T5_LINREG_B_max10,2026-02-12 00:00:00+00:00,2,2,1,0.5
T5_LINREG_B_max10,2026-04-12 00:00:00+00:00,1,1,1,0.25
T5_LINREG_B_max10,2026-04-25 00:00:00+00:00,2,2,1,0.5
T5_LINREG_B_max10,2026-04-28 00:00:00+00:00,2,2,1,0.5
T5_LINREG_B_max10,2026-04-30 00:00:00+00:00,2,2,1,0.5
T5_LINREG_B_max10,2026-05-06 00:00:00+00:00,1,1,1,0.25
T5_LINREG_B_max10,2026-05-08 00:00:00+00:00,1,1,1,0.25
T5_LINREG_B_uncap,2024-05-17 00:00:00+00:00,1,1,1,0.25
T5_LINREG_B_uncap,2024-05-20 00:00:00+00:00,4,4,1,1.0
T5_LINREG_B_uncap,2024-05-23 00:00:00+00:00,5,5,1,1.25
T5_LINREG_B_uncap,2024-05-25 00:00:00+00:00,6,6,1,1.5
T5_LINREG_B_uncap,2024-05-29 00:00:00+00:00,6,6,1,1.5
T5_LINREG_B_uncap,2024-06-03 00:00:00+00:00,7,7,1,1.75
T5_LINREG_B_uncap,2024-06-04 00:00:00+00:00,7,7,1,1.75
T5_LINREG_B_uncap,2024-06-05 00:00:00+00:00,8,8,1,2.0
T5_LINREG_B_uncap,2024-06-06 00:00:00+00:00,8,8,1,2.0
T5_LINREG_B_uncap,2024-07-15 00:00:00+00:00,6,6,1,1.5
T5_LINREG_B_uncap,2024-07-19 00:00:00+00:00,7,7,1,1.75
T5_LINREG_B_uncap,2024-07-20 00:00:00+00:00,8,8,1,2.0
T5_LINREG_B_uncap,2024-08-12 00:00:00+00:00,1,1,1,0.25
T5_LINREG_B_uncap,2024-08-20 00:00:00+00:00,3,3,1,0.75
T5_LINREG_B_uncap,2024-08-25 00:00:00+00:00,2,2,1,0.5
T5_LINREG_B_uncap,2024-09-18 00:00:00+00:00,1,1,1,0.25
T5_LINREG_B_uncap,2024-09-21 00:00:00+00:00,3,3,1,0.75
T5_LINREG_B_uncap,2024-09-23 00:00:00+00:00,3,3,1,0.75
T5_LINREG_B_uncap,2024-09-26 00:00:00+00:00,4,4,1,1.0
T5_LINREG_B_uncap,2024-10-07 00:00:00+00:00,4,4,1,1.0
T5_LINREG_B_uncap,2024-10-10 00:00:00+00:00,1,1,1,0.25
T5_LINREG_B_uncap,2024-10-18 00:00:00+00:00,2,2,1,0.5
T5_LINREG_B_uncap,2024-10-19 00:00:00+00:00,2,2,1,0.5
T5_LINREG_B_uncap,2024-10-20 00:00:00+00:00,4,4,1,1.0
T5_LINREG_B_uncap,2024-10-28 00:00:00+00:00,1,1,1,0.25
T5_LINREG_B_uncap,2024-11-06 00:00:00+00:00,2,2,1,0.5
T5_LINREG_B_uncap,2024-11-07 00:00:00+00:00,5,5,1,1.25
T5_LINREG_B_uncap,2024-11-08 00:00:00+00:00,7,7,1,1.75
T5_LINREG_B_uncap,2024-11-10 00:00:00+00:00,17,17,1,4.25
T5_LINREG_B_uncap,2024-11-11 00:00:00+00:00,26,26,1,6.5
T5_LINREG_B_uncap,2024-11-12 00:00:00+00:00,24,24,1,6.0
T5_LINREG_B_uncap,2024-11-13 00:00:00+00:00,19,19,1,4.75
T5_LINREG_B_uncap,2024-11-14 00:00:00+00:00,17,17,1,4.25
T5_LINREG_B_uncap,2024-11-15 00:00:00+00:00,17,17,1,4.25
T5_LINREG_B_uncap,2024-11-16 00:00:00+00:00,20,20,1,5.0
T5_LINREG_B_uncap,2024-11-22 00:00:00+00:00,21,21,1,5.25
T5_LINREG_B_uncap,2024-11-23 00:00:00+00:00,27,27,1,6.75
T5_LINREG_B_uncap,2024-11-24 00:00:00+00:00,31,31,1,7.75
T5_LINREG_B_uncap,2024-11-27 00:00:00+00:00,25,25,1,6.25
T5_LINREG_B_uncap,2024-11-28 00:00:00+00:00,26,26,1,6.5
T5_LINREG_B_uncap,2024-11-30 00:00:00+00:00,27,27,1,6.75
T5_LINREG_B_uncap,2024-12-01 00:00:00+00:00,29,29,1,7.25
T5_LINREG_B_uncap,2024-12-02 00:00:00+00:00,30,30,1,7.5
T5_LINREG_B_uncap,2024-12-03 00:00:00+00:00,38,38,1,9.5
T5_LINREG_B_uncap,2024-12-12 00:00:00+00:00,5,5,1,1.25
T5_LINREG_B_uncap,2024-12-14 00:00:00+00:00,5,5,1,1.25
T5_LINREG_B_uncap,2024-12-21 00:00:00+00:00,1,1,1,0.25
T5_LINREG_B_uncap,2024-12-25 00:00:00+00:00,1,1,1,0.25
T5_LINREG_B_uncap,2024-12-28 00:00:00+00:00,1,1,1,0.25
T5_LINREG_B_uncap,2024-12-29 00:00:00+00:00,1,1,1,0.25
T5_LINREG_B_uncap,2025-01-02 00:00:00+00:00,2,2,1,0.5
T5_LINREG_B_uncap,2025-01-18 00:00:00+00:00,1,1,1,0.25
T5_LINREG_B_uncap,2025-01-27 00:00:00+00:00,1,1,1,0.25
T5_LINREG_B_uncap,2025-01-29 00:00:00+00:00,1,1,1,0.25
T5_LINREG_B_uncap,2025-02-25 00:00:00+00:00,1,1,1,0.25
T5_LINREG_B_uncap,2025-03-02 00:00:00+00:00,1,1,1,0.25
T5_LINREG_B_uncap,2025-03-10 00:00:00+00:00,1,1,1,0.25
T5_LINREG_B_uncap,2025-04-12 00:00:00+00:00,1,1,1,0.25
T5_LINREG_B_uncap,2025-04-13 00:00:00+00:00,2,2,1,0.5
T5_LINREG_B_uncap,2025-04-14 00:00:00+00:00,2,2,1,0.5
T5_LINREG_B_uncap,2025-04-15 00:00:00+00:00,3,3,1,0.75
T5_LINREG_B_uncap,2025-04-22 00:00:00+00:00,2,2,1,0.5
T5_LINREG_B_uncap,2025-04-23 00:00:00+00:00,3,3,1,0.75
T5_LINREG_B_uncap,2025-05-06 00:00:00+00:00,4,4,1,1.0
T5_LINREG_B_uncap,2025-05-08 00:00:00+00:00,3,3,1,0.75
T5_LINREG_B_uncap,2025-05-09 00:00:00+00:00,4,4,1,1.0
T5_LINREG_B_uncap,2025-05-10 00:00:00+00:00,12,12,1,3.0
T5_LINREG_B_uncap,2025-05-12 00:00:00+00:00,12,12,1,3.0
T5_LINREG_B_uncap,2025-06-10 00:00:00+00:00,2,2,1,0.5
T5_LINREG_B_uncap,2025-07-09 00:00:00+00:00,1,1,1,0.25
T5_LINREG_B_uncap,2025-07-10 00:00:00+00:00,6,6,1,1.5
T5_LINREG_B_uncap,2025-07-11 00:00:00+00:00,9,9,1,2.25
T5_LINREG_B_uncap,2025-07-12 00:00:00+00:00,11,11,1,2.75
T5_LINREG_B_uncap,2025-07-15 00:00:00+00:00,11,11,1,2.75
T5_LINREG_B_uncap,2025-07-17 00:00:00+00:00,13,13,1,3.25
T5_LINREG_B_uncap,2025-07-18 00:00:00+00:00,15,15,1,3.75
T5_LINREG_B_uncap,2025-07-20 00:00:00+00:00,16,16,1,4.0
T5_LINREG_B_uncap,2025-07-21 00:00:00+00:00,16,16,1,4.0
T5_LINREG_B_uncap,2025-07-25 00:00:00+00:00,13,13,1,3.25
T5_LINREG_B_uncap,2025-07-27 00:00:00+00:00,16,16,1,4.0
T5_LINREG_B_uncap,2025-08-08 00:00:00+00:00,3,3,1,0.75
T5_LINREG_B_uncap,2025-08-13 00:00:00+00:00,3,3,1,0.75
T5_LINREG_B_uncap,2025-08-19 00:00:00+00:00,2,2,1,0.5
T5_LINREG_B_uncap,2025-08-21 00:00:00+00:00,2,2,1,0.5
T5_LINREG_B_uncap,2025-09-10 00:00:00+00:00,1,1,1,0.25
T5_LINREG_B_uncap,2025-09-12 00:00:00+00:00,2,2,1,0.5
T5_LINREG_B_uncap,2025-09-18 00:00:00+00:00,3,3,1,0.75
T5_LINREG_B_uncap,2025-09-20 00:00:00+00:00,4,4,1,1.0
T5_LINREG_B_uncap,2025-09-26 00:00:00+00:00,1,1,1,0.25
T5_LINREG_B_uncap,2025-09-28 00:00:00+00:00,1,1,1,0.25
T5_LINREG_B_uncap,2025-09-30 00:00:00+00:00,2,2,1,0.5
T5_LINREG_B_uncap,2025-10-02 00:00:00+00:00,2,2,1,0.5
T5_LINREG_B_uncap,2025-10-03 00:00:00+00:00,3,3,1,0.75
T5_LINREG_B_uncap,2025-10-09 00:00:00+00:00,4,4,1,1.0
T5_LINREG_B_uncap,2025-10-14 00:00:00+00:00,1,1,1,0.25
T5_LINREG_B_uncap,2025-10-27 00:00:00+00:00,1,1,1,0.25
T5_LINREG_B_uncap,2025-11-04 00:00:00+00:00,2,2,1,0.5
T5_LINREG_B_uncap,2025-11-05 00:00:00+00:00,3,3,1,0.75
T5_LINREG_B_uncap,2025-11-07 00:00:00+00:00,4,4,1,1.0
T5_LINREG_B_uncap,2025-11-10 00:00:00+00:00,4,4,1,1.0
T5_LINREG_B_uncap,2025-11-12 00:00:00+00:00,4,4,1,1.0
T5_LINREG_B_uncap,2026-01-05 00:00:00+00:00,1,1,1,0.25
T5_LINREG_B_uncap,2026-01-14 00:00:00+00:00,1,1,1,0.25
T5_LINREG_B_uncap,2026-01-15 00:00:00+00:00,2,2,1,0.5
T5_LINREG_B_uncap,2026-01-17 00:00:00+00:00,2,2,1,0.5
T5_LINREG_B_uncap,2026-01-19 00:00:00+00:00,2,2,1,0.5
T5_LINREG_B_uncap,2026-01-20 00:00:00+00:00,1,1,1,0.25
T5_LINREG_B_uncap,2026-01-25 00:00:00+00:00,2,2,1,0.5
T5_LINREG_B_uncap,2026-02-06 00:00:00+00:00,1,1,1,0.25
T5_LINREG_B_uncap,2026-02-10 00:00:00+00:00,2,2,1,0.5
T5_LINREG_B_uncap,2026-02-12 00:00:00+00:00,2,2,1,0.5
T5_LINREG_B_uncap,2026-04-12 00:00:00+00:00,1,1,1,0.25
T5_LINREG_B_uncap,2026-04-25 00:00:00+00:00,2,2,1,0.5
T5_LINREG_B_uncap,2026-04-28 00:00:00+00:00,2,2,1,0.5
T5_LINREG_B_uncap,2026-04-30 00:00:00+00:00,2,2,1,0.5
T5_LINREG_B_uncap,2026-05-06 00:00:00+00:00,1,1,1,0.25
T5_LINREG_B_uncap,2026-05-08 00:00:00+00:00,1,1,1,0.25
