time,open,high,low,close,volume
2025-07-29 00:00:00+00:00,0.3,1.5,0.3,0.6719,153720097.7
2025-07-30 00:00:00+00:00,0.672,0.7122,0.5031,0.5322,83239165.5
2025-07-31 00:00:00+00:00,0.5323,0.5543,0.4687,0.4935,49101867.3
2025-08-01 00:00:00+00:00,0.4935,0.6072,0.4731,0.4893,111526075.3
2025-08-02 00:00:00+00:00,0.4891,0.5243,0.4433,0.4533,50910715.3
2025-08-03 00:00:00+00:00,0.4532,0.4653,0.424,0.4552,44604500.3
2025-08-04 00:00:00+00:00,0.4554,0.4992,0.4511,0.4785,57733545.1
2025-08-05 00:00:00+00:00,0.4788,0.486,0.4115,0.427,56774293.9
2025-08-06 00:00:00+00:00,0.4271,0.4343,0.3761,0.3919,69440980.4
2025-08-07 00:00:00+00:00,0.3919,0.4077,0.3695,0.4041,118711510.4
2025-08-08 00:00:00+00:00,0.404,0.5063,0.3963,0.4116,211642957.2
2025-08-09 00:00:00+00:00,0.4116,0.4478,0.389,0.4459,224699292.6
2025-08-10 00:00:00+00:00,0.4459,0.448,0.4094,0.4314,290327745.6
2025-08-11 00:00:00+00:00,0.4315,0.4449,0.3914,0.396,474690220.2
2025-08-12 00:00:00+00:00,0.3959,0.434,0.3902,0.4238,500182147.6
2025-08-13 00:00:00+00:00,0.4238,0.4727,0.4127,0.4217,61350272.3
2025-08-14 00:00:00+00:00,0.4218,0.4301,0.3531,0.3604,53915525.7
2025-08-15 00:00:00+00:00,0.3604,0.3728,0.3402,0.3492,26049794.1
2025-08-16 00:00:00+00:00,0.3491,0.3695,0.3481,0.3671,13212373.1
2025-08-17 00:00:00+00:00,0.3671,0.3823,0.3629,0.3648,17012860.4
2025-08-18 00:00:00+00:00,0.3647,0.3647,0.346,0.3562,15896209.0
2025-08-19 00:00:00+00:00,0.3563,0.3613,0.3216,0.323,17084730.7
2025-08-20 00:00:00+00:00,0.3232,0.3374,0.311,0.3347,15051820.8
2025-08-21 00:00:00+00:00,0.3348,0.3374,0.3154,0.3192,11191151.1
2025-08-22 00:00:00+00:00,0.3193,0.348,0.3051,0.345,23080666.3
2025-08-23 00:00:00+00:00,0.3451,0.3506,0.3254,0.331,16024618.2
2025-08-24 00:00:00+00:00,0.3311,0.3337,0.3008,0.3068,19727905.0
2025-08-25 00:00:00+00:00,0.3068,0.3094,0.2754,0.2913,36498742.0
2025-08-26 00:00:00+00:00,0.2914,0.3091,0.2869,0.2984,27782418.2
2025-08-27 00:00:00+00:00,0.2985,0.3248,0.2973,0.3085,32877462.7
2025-08-28 00:00:00+00:00,0.3086,0.6486,0.3064,0.3929,268887628.8
2025-08-29 00:00:00+00:00,0.393,0.4174,0.3488,0.3571,64133391.0
2025-08-30 00:00:00+00:00,0.357,0.3647,0.3383,0.3445,27940646.8
2025-08-31 00:00:00+00:00,0.3444,0.3475,0.3316,0.3345,22473808.5
2025-09-01 00:00:00+00:00,0.3344,0.3485,0.2986,0.3083,34504041.9
2025-09-02 00:00:00+00:00,0.3085,0.3217,0.2905,0.3156,19133653.0
2025-09-03 00:00:00+00:00,0.3156,0.3751,0.3088,0.3658,53750660.2
2025-09-04 00:00:00+00:00,0.3656,0.4103,0.3148,0.3255,96793244.9
2025-09-05 00:00:00+00:00,0.3256,0.3437,0.3147,0.3184,32022119.9
2025-09-06 00:00:00+00:00,0.3182,0.3308,0.3164,0.3217,22776057.9
2025-09-07 00:00:00+00:00,0.3218,0.348,0.3217,0.3445,33930306.2
2025-09-08 00:00:00+00:00,0.3446,0.3522,0.327,0.3323,23607637.2
2025-09-09 00:00:00+00:00,0.3324,0.3344,0.3178,0.3235,19646228.3
2025-09-10 00:00:00+00:00,0.3234,0.3333,0.3195,0.3254,14847468.8
2025-09-11 00:00:00+00:00,0.3254,0.339,0.3108,0.3176,19301724.5
2025-09-12 00:00:00+00:00,0.3176,0.3201,0.3074,0.3171,15013874.2
2025-09-13 00:00:00+00:00,0.317,0.3257,0.3138,0.3254,15938422.5
2025-09-14 00:00:00+00:00,0.3254,0.3549,0.3191,0.353,59800949.9
2025-09-15 00:00:00+00:00,0.3529,0.3838,0.3198,0.3216,83868843.1
2025-09-16 00:00:00+00:00,0.3216,0.3295,0.3049,0.3154,29084099.7
2025-09-17 00:00:00+00:00,0.3154,0.3247,0.3046,0.3215,17870367.0
2025-09-18 00:00:00+00:00,0.3216,0.3266,0.3186,0.3262,14320450.6
2025-09-19 00:00:00+00:00,0.3263,0.3274,0.3109,0.3135,12434113.1
2025-09-20 00:00:00+00:00,0.3135,0.341,0.3085,0.3304,28211567.9
2025-09-21 00:00:00+00:00,0.3305,0.3483,0.3232,0.34,28885280.0
2025-09-22 00:00:00+00:00,0.34,0.3423,0.278,0.2897,35161834.8
2025-09-23 00:00:00+00:00,0.2897,0.2976,0.2737,0.296,20187537.7
2025-09-24 00:00:00+00:00,0.2961,0.3076,0.2844,0.2902,23829522.1
2025-09-25 00:00:00+00:00,0.2902,0.2915,0.2544,0.257,26601157.8
2025-09-26 00:00:00+00:00,0.2571,0.279,0.2567,0.2684,26712096.8
2025-09-27 00:00:00+00:00,0.2685,0.2739,0.2609,0.2676,9172228.7
2025-09-28 00:00:00+00:00,0.2677,0.2751,0.2572,0.2742,10008775.6
2025-09-29 00:00:00+00:00,0.2742,0.2908,0.258,0.2636,20871578.2
2025-09-30 00:00:00+00:00,0.2637,0.2648,0.2453,0.2533,13823099.4
2025-10-01 00:00:00+00:00,0.2534,0.2701,0.25,0.2685,14927565.7
2025-10-02 00:00:00+00:00,0.2686,0.2838,0.2593,0.2703,16550672.7
2025-10-03 00:00:00+00:00,0.2703,0.2723,0.258,0.269,21613457.5
2025-10-04 00:00:00+00:00,0.269,0.2732,0.2567,0.261,9542950.8
2025-10-05 00:00:00+00:00,0.261,0.2695,0.2569,0.2585,11800411.3
2025-10-06 00:00:00+00:00,0.2586,0.2712,0.2554,0.2676,10930672.6
2025-10-07 00:00:00+00:00,0.2675,0.2736,0.2508,0.2521,15275724.0
2025-10-08 00:00:00+00:00,0.252,0.261,0.246,0.2572,11851401.4
2025-10-09 00:00:00+00:00,0.2573,0.258,0.232,0.2367,16416204.5
2025-10-10 00:00:00+00:00,0.2368,0.2429,0.0468,0.1567,46317108.1
2025-10-11 00:00:00+00:00,0.1566,0.1819,0.1556,0.1671,27658233.7
2025-10-12 00:00:00+00:00,0.1671,0.1826,0.1627,0.1771,12915387.7
2025-10-13 00:00:00+00:00,0.1771,0.1864,0.1709,0.1855,18614475.3
2025-10-14 00:00:00+00:00,0.1855,0.186,0.1638,0.1756,17525240.0
2025-10-15 00:00:00+00:00,0.1756,0.1871,0.1676,0.1705,20056562.8
2025-10-16 00:00:00+00:00,0.1705,0.1766,0.1562,0.1604,20291292.5
2025-10-17 00:00:00+00:00,0.1604,0.1632,0.146,0.1539,20848344.0
2025-10-18 00:00:00+00:00,0.1538,0.1748,0.1531,0.1624,42931392.2
2025-10-19 00:00:00+00:00,0.1624,0.1652,0.1557,0.162,17524888.4
2025-10-20 00:00:00+00:00,0.162,0.2415,0.1574,0.1822,70277363.9
2025-10-21 00:00:00+00:00,0.1823,0.21,0.1655,0.1701,76063925.0
2025-10-22 00:00:00+00:00,0.17,0.1748,0.1539,0.1611,19929865.5
