time,open,high,low,close,volume
2026-03-26 00:00:00+00:00,4415.0,4500.0,4357.7,4406.39,2619.7387
2026-03-27 00:00:00+00:00,4406.4,4545.69,4377.8,4494.53,4983.8291
2026-03-28 00:00:00+00:00,4494.53,4499.3,4484.57,4488.26,10373.442
2026-03-29 00:00:00+00:00,4488.32,4509.99,4443.35,4447.52,9573.6958
2026-03-30 00:00:00+00:00,4447.74,4575.0,4420.01,4505.71,8683.8355
2026-03-31 00:00:00+00:00,4505.7,4673.54,4476.1,4670.22,6113.663
2026-04-01 00:00:00+00:00,4670.21,4761.42,4642.7,4746.96,4467.9616
2026-04-02 00:00:00+00:00,4746.78,4761.03,4533.89,4650.29,6590.0844
2026-04-03 00:00:00+00:00,4650.3,4650.79,4626.84,4632.22,1644.8314
2026-04-04 00:00:00+00:00,4632.22,4646.88,4628.99,4633.68,7144.7162
2026-04-05 00:00:00+00:00,4633.69,4638.49,4578.91,4584.86,9584.3048
2026-04-06 00:00:00+00:00,4584.9,4673.65,4576.2,4626.7,4384.3609
2026-04-07 00:00:00+00:00,4626.15,4790.12,4585.58,4787.09,8740.7067
2026-04-08 00:00:00+00:00,4787.05,4810.46,4671.86,4692.96,5730.1217
2026-04-09 00:00:00+00:00,4692.72,4776.12,4674.87,4737.89,5101.1943
2026-04-10 00:00:00+00:00,4737.5,4767.14,4708.0,4721.49,3848.0804
2026-04-11 00:00:00+00:00,4721.48,4730.83,4719.2,4723.29,6071.6454
2026-04-12 00:00:00+00:00,4723.3,4725.76,4622.22,4649.75,9744.4292
2026-04-13 00:00:00+00:00,4649.75,4738.88,4642.61,4731.57,9544.5317
2026-04-14 00:00:00+00:00,4731.57,4824.18,4727.09,4811.78,14876.6959
2026-04-15 00:00:00+00:00,4811.78,4844.84,4765.91,4802.05,36466.4759
2026-04-16 00:00:00+00:00,4802.05,4815.59,4759.28,4773.09,26385.6699
2026-04-17 00:00:00+00:00,4773.1,4865.08,4751.83,4814.84,186663.8303
2026-04-18 00:00:00+00:00,4814.84,4826.43,4776.25,4776.26,828.2926
2026-04-19 00:00:00+00:00,4776.01,4795.09,4721.32,4735.75,1729.5141
2026-04-20 00:00:00+00:00,4735.51,4810.42,4725.88,4800.65,2121.9697
2026-04-21 00:00:00+00:00,4800.79,4809.37,4657.56,4727.24,3337.9019
2026-04-22 00:00:00+00:00,4726.77,4758.96,4707.17,4710.44,1926.73
2026-04-23 00:00:00+00:00,4710.43,4733.19,4656.0,4686.25,2627.3979
2026-04-24 00:00:00+00:00,4686.5,4722.86,4650.02,4690.58,2214.5652
2026-04-25 00:00:00+00:00,4690.58,4701.0,4688.1,4688.1,369.5294
2026-04-26 00:00:00+00:00,4688.11,4709.48,4670.0,4675.48,824.1542
2026-04-27 00:00:00+00:00,4674.75,4713.48,4657.87,4685.92,1906.1787
2026-04-28 00:00:00+00:00,4685.93,4691.88,4550.51,4590.57,6970.397
2026-04-29 00:00:00+00:00,4590.56,4604.4,4516.77,4559.97,3218.1341
2026-04-30 00:00:00+00:00,4559.97,4636.58,4541.74,4615.21,3045.7787
2026-05-01 00:00:00+00:00,4615.2,4647.86,4560.77,4602.99,3233.259
2026-05-02 00:00:00+00:00,4603.0,4604.85,4597.29,4598.38,401.9546
2026-05-03 00:00:00+00:00,4598.39,4632.58,4597.45,4605.7,1218.7083
2026-05-04 00:00:00+00:00,4605.69,4611.38,4504.07,4517.56,5164.1831
2026-05-05 00:00:00+00:00,4517.28,4586.67,4513.1,4585.0,2951.4806
2026-05-06 00:00:00+00:00,4585.17,4709.98,4580.01,4685.28,3832.1337
2026-05-07 00:00:00+00:00,4685.52,4750.68,4672.34,4696.0,4237.4404
2026-05-08 00:00:00+00:00,4696.16,4736.15,4687.5,4700.89,2029.7802
2026-05-09 00:00:00+00:00,4700.9,4711.7,4698.13,4709.01,455.7045
2026-05-10 00:00:00+00:00,4709.01,4719.16,4677.0,4685.68,1554.6352
2026-05-11 00:00:00+00:00,4685.67,4755.65,4646.62,4754.19,2806.1209
2026-05-12 00:00:00+00:00,4754.19,4759.43,4642.19,4712.2,2558.1381
2026-05-13 00:00:00+00:00,4712.06,4720.0,4666.7,4689.35,1736.3133
2026-05-14 00:00:00+00:00,4689.35,4708.43,4644.09,4651.81,2230.9493
2026-05-15 00:00:00+00:00,4651.81,4656.15,4520.0,4542.11,5990.2936
2026-05-16 00:00:00+00:00,4542.1,4542.96,4522.31,4538.25,1614.27
2026-05-17 00:00:00+00:00,4538.26,4552.18,4525.78,4533.31,1703.2978
2026-05-18 00:00:00+00:00,4533.31,4582.18,4479.16,4575.33,3432.6198
2026-05-19 00:00:00+00:00,4575.33,4581.7,4473.29,4492.34,4727.7124
2026-05-20 00:00:00+00:00,4492.34,4549.0,4461.16,4539.63,3623.2717
2026-05-21 00:00:00+00:00,4539.63,4561.64,4486.99,4528.24,2622.1065
2026-05-22 00:00:00+00:00,4528.25,4532.9,4489.35,4497.02,2157.8405
2026-05-23 00:00:00+00:00,4497.02,4518.59,4495.05,4512.9,1326.0115
2026-05-24 00:00:00+00:00,4512.88,4563.74,4501.54,4551.53,5758.0227
2026-05-25 00:00:00+00:00,4551.54,4564.67,4538.15,4544.67,1699.3416
2026-05-26 00:00:00+00:00,4544.67,4544.67,4475.71,4512.39,3260.8022
2026-05-27 00:00:00+00:00,4512.38,4517.66,4404.0,4441.0,3912.9008
2026-05-28 00:00:00+00:00,4441.0,4500.74,4367.0,4479.56,4174.1923
