time,open,high,low,close,volume
2025-07-17 00:00:00+00:00,0.2,2.0561,0.2,1.7055,240906313.9
2025-07-18 00:00:00+00:00,1.7031,1.7555,1.3134,1.3569,79601324.3
2025-07-19 00:00:00+00:00,1.3567,1.3567,1.1575,1.2307,50275773.4
2025-07-20 00:00:00+00:00,1.2304,1.2957,1.2046,1.2576,64291034.3
2025-07-21 00:00:00+00:00,1.2575,1.3339,1.237,1.264,64254513.9
2025-07-22 00:00:00+00:00,1.264,1.2992,1.1946,1.254,88347557.6
2025-07-23 00:00:00+00:00,1.254,1.3891,1.2181,1.273,130307663.2
2025-07-24 00:00:00+00:00,1.2729,1.575,1.2713,1.4606,182413024.3
2025-07-25 00:00:00+00:00,1.4605,1.6165,1.1716,1.2717,185350885.6
2025-07-26 00:00:00+00:00,1.2717,1.3225,1.2245,1.297,206750295.1
2025-07-27 00:00:00+00:00,1.2971,1.423,1.267,1.4025,281488381.8
2025-07-28 00:00:00+00:00,1.4025,1.4229,1.2381,1.271,351667313.6
2025-07-29 00:00:00+00:00,1.2711,1.3108,1.1813,1.2044,485943003.3
2025-07-30 00:00:00+00:00,1.2045,1.226,1.0914,1.1254,857590723.7
2025-07-31 00:00:00+00:00,1.1254,1.1674,1.0694,1.0734,854115327.8
2025-08-01 00:00:00+00:00,1.0735,1.0753,0.9696,1.0003,25032938.0
2025-08-02 00:00:00+00:00,1.0005,1.0122,0.2,0.9193,16877946.6
2025-08-03 00:00:00+00:00,0.9192,0.9576,0.9016,0.9345,5916902.5
2025-08-04 00:00:00+00:00,0.9347,0.9669,0.9145,0.964,8845357.2
2025-08-05 00:00:00+00:00,0.964,1.0407,0.9522,1.0065,16408603.6
2025-08-06 00:00:00+00:00,1.0067,1.0123,0.9361,0.9698,7558720.5
2025-08-07 00:00:00+00:00,0.9699,1.0091,0.938,1.0053,5542525.3
2025-08-08 00:00:00+00:00,1.0051,1.0111,0.9683,1.0031,4560311.0
2025-08-09 00:00:00+00:00,1.0031,1.0479,0.9993,1.033,5287987.9
2025-08-10 00:00:00+00:00,1.0331,1.191,1.024,1.0919,21379417.7
2025-08-11 00:00:00+00:00,1.0914,1.104,0.9976,1.0136,7162750.4
2025-08-12 00:00:00+00:00,1.0135,1.0656,0.9839,1.0359,7077896.3
2025-08-13 00:00:00+00:00,1.0357,1.0442,0.9948,1.0131,15053092.4
2025-08-14 00:00:00+00:00,1.0132,1.0148,0.9,0.9289,9019816.4
2025-08-15 00:00:00+00:00,0.9287,0.9399,0.9056,0.9317,11395158.8
2025-08-16 00:00:00+00:00,0.9319,0.9834,0.9272,0.9559,8520044.8
2025-08-17 00:00:00+00:00,0.9559,0.9757,0.9397,0.9447,7612540.3
2025-08-18 00:00:00+00:00,0.9446,0.9458,0.8763,0.8983,5704293.8
