timeframe,filter_mode,rsi_n,overbought,hold_bars,atr_mult,num_trades,win_rate,avg_r,profit_factor,max_dd_r,total_r
4h,none,2,70,5,2.0,5710,0.5196,-0.005,0.9833,103.45,-28.73
4h,none,2,70,5,3.0,5455,0.5292,-0.0086,0.9587,85.57,-46.78
4h,none,2,70,5,4.0,5352,0.5301,-0.0076,0.9517,63.28,-40.44
4h,none,2,70,10,2.0,4115,0.486,-0.0194,0.9514,102.57,-79.66
4h,none,2,70,10,3.0,3777,0.5128,-0.0227,0.9203,110.76,-85.72
4h,none,2,70,10,4.0,3637,0.5265,-0.0127,0.9411,67.12,-46.09
4h,none,2,70,15,2.0,3379,0.4549,0.0125,1.0269,34.37,42.2
4h,none,2,70,15,3.0,2983,0.5059,-0.0163,0.9529,72.64,-48.73
4h,none,2,70,15,4.0,2815,0.5279,-0.0171,0.9364,67.19,-48.04
4h,none,2,70,20,2.0,2871,0.4378,0.0135,1.0264,76.31,38.76
4h,none,2,70,20,3.0,2498,0.5088,0.0018,1.0047,61.47,4.57
4h,none,2,70,20,4.0,2328,0.543,0.0012,1.0039,40.58,2.73
4h,none,2,70,25,2.0,2548,0.4148,0.008,1.0146,92.35,20.49
4h,none,2,70,25,3.0,2161,0.4813,-0.0296,0.9319,96.47,-63.88
4h,none,2,70,25,4.0,1979,0.5144,-0.0289,0.9173,80.98,-57.21
4h,none,2,75,5,2.0,5172,0.5271,-0.0067,0.978,94.14,-34.55
4h,none,2,75,5,3.0,4934,0.5349,-0.0116,0.9449,84.33,-57.38
4h,none,2,75,5,4.0,4853,0.5378,-0.0073,0.9534,53.87,-35.64
4h,none,2,75,10,2.0,3852,0.48,-0.0279,0.9313,124.29,-107.28
4h,none,2,75,10,3.0,3542,0.5062,-0.0277,0.9043,110.52,-98.01
4h,none,2,75,10,4.0,3416,0.522,-0.0171,0.922,72.06,-58.35
4h,none,2,75,15,2.0,3201,0.4552,0.0076,1.0163,48.18,24.34
4h,none,2,75,15,3.0,2841,0.5044,-0.0188,0.9461,73.68,-53.37
4h,none,2,75,15,4.0,2669,0.5227,-0.0258,0.905,79.86,-68.81
4h,none,2,75,20,2.0,2738,0.4346,0.0186,1.0362,60.13,50.86
4h,none,2,75,20,3.0,2396,0.505,-0.0062,0.9842,67.32,-14.91
4h,none,2,75,20,4.0,2235,0.5391,-0.0015,0.9952,41.06,-3.26
4h,none,2,75,25,2.0,2445,0.4115,0.0061,1.0111,94.94,15.03
4h,none,2,75,25,3.0,2085,0.4811,-0.0238,0.9452,89.83,-49.54
4h,none,2,75,25,4.0,1925,0.5153,-0.0199,0.9426,67.34,-38.34
4h,none,2,80,5,2.0,4584,0.5268,-0.0073,0.9762,91.02,-33.47
4h,none,2,80,5,3.0,4367,0.5406,-0.0127,0.941,82.61,-55.25
4h,none,2,80,5,4.0,4290,0.5443,-0.0073,0.9544,46.32,-31.19
4h,none,2,80,10,2.0,3542,0.4752,-0.0301,0.9267,147.76,-106.49
4h,none,2,80,10,3.0,3268,0.504,-0.0344,0.8833,129.03,-112.48
4h,none,2,80,10,4.0,3159,0.5201,-0.022,0.9014,80.17,-69.36
4h,none,2,80,15,2.0,2986,0.4565,0.0059,1.0125,58.94,17.57
4h,none,2,80,15,3.0,2667,0.5111,-0.0121,0.9655,66.66,-32.37
4h,none,2,80,15,4.0,2507,0.5325,-0.0173,0.9363,63.52,-43.36
4h,none,2,80,20,2.0,2583,0.439,0.028,1.055,52.19,72.34
4h,none,2,80,20,3.0,2282,0.511,0.0153,1.0391,51.59,34.96
4h,none,2,80,20,4.0,2122,0.5415,0.0091,1.0299,36.19,19.31
4h,none,2,80,25,2.0,2319,0.4148,-0.0029,0.9948,103.51,-6.63
4h,none,2,80,25,3.0,2004,0.4835,-0.0212,0.9514,88.47,-42.39
4h,none,2,80,25,4.0,1828,0.5213,-0.0254,0.9278,65.04,-46.43
4h,none,2,85,5,2.0,3868,0.5346,0.0076,1.0248,66.44,29.42
4h,none,2,85,5,3.0,3692,0.5534,-0.0029,0.9863,62.55,-10.89
4h,none,2,85,5,4.0,3627,0.5569,-0.0013,0.992,42.13,-4.68
4h,none,2,85,10,2.0,3110,0.4691,-0.0305,0.9264,144.84,-94.83
4h,none,2,85,10,3.0,2881,0.5026,-0.0314,0.8947,113.59,-90.35
4h,none,2,85,10,4.0,2775,0.516,-0.021,0.9061,79.3,-58.31
4h,none,2,85,15,2.0,2679,0.4606,0.007,1.0147,90.59,18.64
4h,none,2,85,15,3.0,2391,0.5115,-0.0189,0.9471,73.28,-45.13
4h,none,2,85,15,4.0,2253,0.5335,-0.0223,0.9195,69.58,-50.25
4h,none,2,85,20,2.0,2370,0.435,0.0333,1.0646,79.88,78.94
4h,none,2,85,20,3.0,2086,0.4986,0.0011,1.0028,64.94,2.33
4h,none,2,85,20,4.0,1935,0.5271,-0.0022,0.9931,54.37,-4.22
4h,none,2,85,25,2.0,2143,0.4125,0.0041,1.0074,102.73,8.77
4h,none,2,85,25,3.0,1851,0.4824,-0.0367,0.9177,105.96,-68.01
4h,none,2,85,25,4.0,1707,0.5278,-0.0337,0.9062,80.44,-57.53
4h,none,2,90,5,2.0,3046,0.5424,0.0077,1.0249,34.45,23.56
4h,none,2,90,5,3.0,2915,0.5609,-0.0032,0.9855,36.55,-9.25
4h,none,2,90,5,4.0,2858,0.5637,-0.0022,0.9864,23.77,-6.41
4h,none,2,90,10,2.0,2570,0.4685,-0.0421,0.8996,138.89,-108.26
4h,none,2,90,10,3.0,2391,0.5065,-0.0382,0.8731,108.51,-91.43
4h,none,2,90,10,4.0,2299,0.5211,-0.0226,0.8989,64.67,-52.01
4h,none,2,90,15,2.0,2292,0.4572,-0.0033,0.9932,86.13,-7.49
4h,none,2,90,15,3.0,2054,0.5204,-0.0171,0.9526,69.77,-35.11
4h,none,2,90,15,4.0,1934,0.544,-0.0179,0.936,60.25,-34.71
4h,none,2,90,20,2.0,2062,0.4384,0.0304,1.0578,81.89,62.73
4h,none,2,90,20,3.0,1827,0.5052,0.0064,1.0156,69.29,11.73
4h,none,2,90,20,4.0,1708,0.5381,0.0065,1.0202,48.95,11.12
4h,none,2,90,25,2.0,1905,0.4047,-0.007,0.9876,103.7,-13.32
4h,none,2,90,25,3.0,1652,0.4818,-0.0424,0.9069,98.65,-70.0
4h,none,2,90,25,4.0,1520,0.525,-0.0345,0.9057,67.96,-52.39
4h,none,3,70,5,2.0,4410,0.5417,0.0038,1.0127,59.15,16.9
4h,none,3,70,5,3.0,4183,0.5525,-0.0107,0.9504,74.54,-44.7
4h,none,3,70,5,4.0,4092,0.5552,-0.0053,0.9664,43.61,-21.84
4h,none,3,70,10,2.0,3426,0.4699,-0.0321,0.9223,143.31,-109.89
4h,none,3,70,10,3.0,3135,0.4982,-0.04,0.8662,137.48,-125.27
4h,none,3,70,10,4.0,3019,0.519,-0.021,0.9056,81.33,-63.27
4h,none,3,70,15,2.0,2919,0.4519,-0.0077,0.984,85.83,-22.37
4h,none,3,70,15,3.0,2574,0.5054,-0.0328,0.9097,97.99,-84.55
4h,none,3,70,15,4.0,2399,0.529,-0.0277,0.9004,80.57,-66.5
4h,none,3,70,20,2.0,2574,0.4359,0.0394,1.0767,37.85,101.41
4h,none,3,70,20,3.0,2250,0.5067,0.0103,1.0258,40.68,23.17
4h,none,3,70,20,4.0,2076,0.5424,0.0112,1.0362,35.96,23.23
4h,none,3,70,25,2.0,2326,0.411,-0.0086,0.9847,101.33,-20.01
4h,none,3,70,25,3.0,1986,0.4849,-0.0335,0.9248,90.1,-66.44
4h,none,3,70,25,4.0,1808,0.5265,-0.0231,0.9349,63.4,-41.84
4h,none,3,75,5,2.0,3686,0.5415,0.0098,1.0318,56.59,36.16
4h,none,3,75,5,3.0,3497,0.557,-0.0066,0.9702,64.25,-22.96
4h,none,3,75,5,4.0,3426,0.5619,-0.0025,0.985,40.23,-8.4
4h,none,3,75,10,2.0,2990,0.4649,-0.0451,0.8927,157.03,-134.86
4h,none,3,75,10,3.0,2751,0.4976,-0.0465,0.8466,140.97,-127.97
4h,none,3,75,10,4.0,2637,0.5135,-0.0319,0.86,95.56,-84.2
4h,none,3,75,15,2.0,2602,0.4504,-0.0215,0.9561,106.65,-56.07
4h,none,3,75,15,3.0,2308,0.5078,-0.0384,0.8954,106.96,-88.7
4h,none,3,75,15,4.0,2158,0.5352,-0.0351,0.8775,93.44,-75.79
4h,none,3,75,20,2.0,2332,0.4301,0.0177,1.0336,73.07,41.25
4h,none,3,75,20,3.0,2055,0.4964,-0.002,0.9951,69.41,-4.09
4h,none,3,75,20,4.0,1898,0.5337,0.0056,1.0178,49.45,10.67
4h,none,3,75,25,2.0,2148,0.4069,-0.0117,0.9792,91.1,-25.2
4h,none,3,75,25,3.0,1848,0.4859,-0.036,0.9202,91.22,-66.45
4h,none,3,75,25,4.0,1691,0.5316,-0.0283,0.9214,68.61,-47.87
4h,none,3,80,5,2.0,2980,0.5403,0.0133,1.0426,38.11,39.63
4h,none,3,80,5,3.0,2837,0.5587,-0.0027,0.9879,43.41,-7.67
4h,none,3,80,5,4.0,2771,0.5615,-0.001,0.9939,25.47,-2.85
4h,none,3,80,10,2.0,2502,0.4732,-0.0404,0.9041,130.23,-100.97
4h,none,3,80,10,3.0,2302,0.5117,-0.0418,0.8624,113.28,-96.22
4h,none,3,80,10,4.0,2205,0.527,-0.0305,0.8686,81.22,-67.25
4h,none,3,80,15,2.0,2251,0.4509,-0.0219,0.9557,105.23,-49.3
4h,none,3,80,15,3.0,2004,0.5185,-0.025,0.932,79.08,-50.03
4h,none,3,80,15,4.0,1877,0.5445,-0.0234,0.9184,71.37,-43.96
4h,none,3,80,20,2.0,2054,0.4323,0.0138,1.026,81.59,28.44
4h,none,3,80,20,3.0,1808,0.5033,0.0011,1.0026,70.99,1.93
4h,none,3,80,20,4.0,1686,0.5374,0.0068,1.0213,54.21,11.54
4h,none,3,80,25,2.0,1909,0.3997,-0.0204,0.9644,102.98,-39.02
4h,none,3,80,25,3.0,1649,0.4809,-0.0446,0.9024,96.74,-73.49
4h,none,3,80,25,4.0,1513,0.5221,-0.0378,0.897,76.62,-57.19
4h,none,3,85,5,2.0,2171,0.5371,0.0015,1.0047,29.77,3.32
4h,none,3,85,5,3.0,2076,0.5597,-0.002,0.9911,25.18,-4.24
4h,none,3,85,5,4.0,2029,0.5619,-0.0038,0.9783,22.2,-7.75
4h,none,3,85,10,2.0,1942,0.4809,-0.0233,0.945,78.06,-45.19
4h,none,3,85,10,3.0,1788,0.5257,-0.0271,0.911,72.49,-48.39
4h,none,3,85,10,4.0,1714,0.5426,-0.0154,0.9329,49.32,-26.43
4h,none,3,85,15,2.0,1787,0.46,0.0176,1.0357,47.26,31.46
4h,none,3,85,15,3.0,1603,0.5278,-0.0026,0.9931,44.81,-4.13
4h,none,3,85,15,4.0,1521,0.5588,0.0007,1.0024,33.92,1.06
4h,none,3,85,20,2.0,1656,0.433,0.0199,1.0373,50.88,32.96
4h,none,3,85,20,3.0,1474,0.5041,0.0004,1.0009,37.75,0.53
4h,none,3,85,20,4.0,1388,0.5432,0.0105,1.0328,32.65,14.63
4h,none,3,85,25,2.0,1577,0.4071,0.0016,1.0028,59.13,2.51
4h,none,3,85,25,3.0,1387,0.496,-0.0214,0.9528,51.66,-29.73
4h,none,3,85,25,4.0,1286,0.5373,-0.0165,0.9546,45.06,-21.28
4h,none,3,90,5,2.0,1412,0.5404,-0.0033,0.9901,41.94,-4.71
4h,none,3,90,5,3.0,1342,0.5723,-0.0066,0.9726,31.67,-8.87
4h,none,3,90,5,4.0,1318,0.5789,-0.0033,0.9816,21.19,-4.41
4h,none,3,90,10,2.0,1325,0.4725,-0.0157,0.9642,69.34,-20.84
4h,none,3,90,10,3.0,1231,0.528,-0.0162,0.9489,55.95,-19.94
4h,none,3,90,10,4.0,1190,0.5437,-0.0079,0.9674,37.03,-9.39
4h,none,3,90,15,2.0,1255,0.4438,0.0032,1.0062,73.23,3.96
4h,none,3,90,15,3.0,1138,0.5228,0.0028,1.0075,46.01,3.23
4h,none,3,90,15,4.0,1091,0.5527,0.001,1.0033,34.22,1.06
4h,none,3,90,20,2.0,1184,0.4105,-0.0135,0.9759,73.11,-16.03
4h,none,3,90,20,3.0,1053,0.4834,-0.0127,0.9706,48.94,-13.39
4h,none,3,90,20,4.0,1004,0.5239,-0.0034,0.9901,35.11,-3.42
4h,none,3,90,25,2.0,1150,0.3861,-0.0096,0.9839,79.89,-11.04
4h,none,3,90,25,3.0,1017,0.4789,-0.0159,0.9659,50.94,-16.2
4h,none,3,90,25,4.0,959,0.513,-0.0148,0.9606,42.8,-14.21
4h,none,5,70,5,2.0,2819,0.5399,0.0209,1.0655,34.86,58.89
4h,none,5,70,5,3.0,2678,0.5583,0.0044,1.0191,38.51,11.67
4h,none,5,70,5,4.0,2620,0.5618,0.0043,1.0253,24.14,11.38
4h,none,5,70,10,2.0,2373,0.4834,-0.0093,0.978,77.9,-21.98
4h,none,5,70,10,3.0,2144,0.5215,-0.0262,0.9149,79.0,-56.15
4h,none,5,70,10,4.0,2050,0.5415,-0.0092,0.9601,40.81,-18.76
4h,none,5,70,15,2.0,2139,0.4516,0.0098,1.0197,67.21,20.96
4h,none,5,70,15,3.0,1867,0.5169,-0.0142,0.9626,67.4,-26.54
4h,none,5,70,15,4.0,1746,0.5452,-0.0152,0.9488,59.64,-26.47
4h,none,5,70,20,2.0,1982,0.4289,0.0159,1.0298,82.3,31.47
4h,none,5,70,20,3.0,1708,0.4953,-0.0095,0.9773,70.35,-16.25
4h,none,5,70,20,4.0,1587,0.5362,0.0074,1.0229,46.12,11.71
4h,none,5,70,25,2.0,1862,0.4023,-0.0051,0.991,81.46,-9.56
4h,none,5,70,25,3.0,1585,0.4808,-0.0369,0.9199,84.42,-58.52
4h,none,5,70,25,4.0,1439,0.5247,-0.0298,0.9191,63.46,-42.95
4h,none,5,75,5,2.0,2097,0.5293,0.0044,1.013,39.41,9.14
4h,none,5,75,5,3.0,1993,0.5529,-0.0046,0.981,28.15,-9.07
4h,none,5,75,5,4.0,1946,0.5591,-0.0034,0.9815,23.19,-6.57
4h,none,5,75,10,2.0,1861,0.4713,-0.0316,0.9274,100.24,-58.82
4h,none,5,75,10,3.0,1690,0.5195,-0.0292,0.9074,78.85,-49.42
4h,none,5,75,10,4.0,1610,0.5379,-0.0126,0.9471,49.34,-20.26
4h,none,5,75,15,2.0,1733,0.4507,0.0068,1.0136,75.86,11.84
4h,none,5,75,15,3.0,1523,0.5167,-0.0214,0.945,69.95,-32.61
4h,none,5,75,15,4.0,1429,0.5542,-0.0054,0.9818,43.95,-7.73
4h,none,5,75,20,2.0,1633,0.4287,0.0061,1.0113,79.3,10.01
4h,none,5,75,20,3.0,1420,0.5007,-0.0144,0.966,63.67,-20.52
4h,none,5,75,20,4.0,1328,0.5399,0.0043,1.013,38.11,5.71
4h,none,5,75,25,2.0,1557,0.4033,0.0091,1.0158,70.66,14.16
4h,none,5,75,25,3.0,1354,0.4897,-0.0223,0.9513,68.57,-30.24
4h,none,5,75,25,4.0,1243,0.5342,-0.0071,0.9805,42.96,-8.86
4h,none,5,80,5,2.0,1407,0.5203,-0.0148,0.959,42.96,-20.76
4h,none,5,80,5,3.0,1332,0.5593,-0.004,0.9842,24.58,-5.27
4h,none,5,80,5,4.0,1292,0.5658,-0.0031,0.9838,20.49,-3.98
4h,none,5,80,10,2.0,1306,0.4694,-0.0221,0.9512,75.24,-28.91
4h,none,5,80,10,3.0,1192,0.531,-0.0096,0.9702,45.97,-11.39
4h,none,5,80,10,4.0,1139,0.5522,-0.0006,0.9974,32.47,-0.73
4h,none,5,80,15,2.0,1242,0.4308,-0.0022,0.9958,79.28,-2.75
4h,none,5,80,15,3.0,1106,0.5127,0.0008,1.002,47.02,0.86
4h,none,5,80,15,4.0,1051,0.5557,0.0147,1.0501,27.92,15.47
4h,none,5,80,20,2.0,1187,0.3993,-0.0284,0.9505,93.08,-33.76
4h,none,5,80,20,3.0,1038,0.4759,-0.0167,0.9623,58.37,-17.38
4h,none,5,80,20,4.0,977,0.5292,0.0025,1.0073,36.33,2.47
4h,none,5,80,25,2.0,1156,0.372,-0.0302,0.9504,106.18,-34.86
4h,none,5,80,25,3.0,1005,0.4657,-0.0312,0.9345,67.61,-31.37
4h,none,5,80,25,4.0,939,0.5122,-0.0129,0.9657,43.06,-12.12
4h,none,5,85,5,2.0,861,0.554,0.0144,1.0421,30.45,12.41
4h,none,5,85,5,3.0,818,0.5905,0.0127,1.053,16.63,10.39
4h,none,5,85,5,4.0,799,0.602,0.0096,1.0524,15.72,7.66
4h,none,5,85,10,2.0,832,0.4988,0.0326,1.0748,28.27,27.09
4h,none,5,85,10,3.0,764,0.5445,0.0149,1.0464,20.06,11.38
4h,none,5,85,10,4.0,737,0.5712,0.0166,1.0679,13.78,12.25
4h,none,5,85,15,2.0,805,0.4398,0.0191,1.0366,34.63,15.39
4h,none,5,85,15,3.0,729,0.5158,0.0271,1.0704,15.25,19.77
4h,none,5,85,15,4.0,702,0.557,0.0371,1.128,9.31,26.03
4h,none,5,85,20,2.0,782,0.4028,-0.0252,0.9559,48.01,-19.72
4h,none,5,85,20,3.0,701,0.4964,-0.0001,0.9997,22.54,-0.08
4h,none,5,85,20,4.0,671,0.535,0.0071,1.021,17.08,4.78
4h,none,5,85,25,2.0,774,0.3786,-0.0242,0.9599,56.6,-18.69
4h,none,5,85,25,3.0,686,0.4767,-0.0214,0.955,37.38,-14.69
4h,none,5,85,25,4.0,649,0.5116,-0.0292,0.9238,38.94,-18.98
4h,none,5,90,5,2.0,385,0.5532,0.0207,1.0601,28.6,7.96
4h,none,5,90,5,3.0,362,0.5829,0.0138,1.0559,20.4,4.99
4h,none,5,90,5,4.0,358,0.5978,0.0223,1.1208,13.92,7.98
4h,none,5,90,10,2.0,379,0.4908,0.0131,1.0291,30.33,4.98
4h,none,5,90,10,3.0,353,0.5411,0.0004,1.0011,22.08,0.13
4h,none,5,90,10,4.0,345,0.5739,0.0042,1.0163,17.24,1.45
4h,none,5,90,15,2.0,378,0.4524,0.0571,1.1112,22.63,21.6
4h,none,5,90,15,3.0,350,0.52,0.03,1.0746,17.28,10.5
4h,none,5,90,15,4.0,342,0.5731,0.0475,1.1568,10.87,16.24
4h,none,5,90,20,2.0,376,0.4096,-0.0167,0.9705,37.54,-6.28
4h,none,5,90,20,3.0,345,0.4899,-0.0337,0.9254,29.47,-11.61
4h,none,5,90,20,4.0,335,0.5493,-0.0044,0.9876,16.76,-1.46
4h,none,5,90,25,2.0,374,0.3824,-0.0245,0.959,38.3,-9.15
4h,none,5,90,25,3.0,340,0.4588,-0.0682,0.863,34.24,-23.2
4h,none,5,90,25,4.0,330,0.5273,-0.0344,0.913,22.46,-11.34
4h,none,7,70,5,2.0,2015,0.5226,-0.0035,0.9899,51.52,-6.99
4h,none,7,70,5,3.0,1906,0.5519,-0.0007,0.9971,34.68,-1.31
4h,none,7,70,5,4.0,1864,0.5606,-0.0004,0.998,23.0,-0.69
4h,none,7,70,10,2.0,1759,0.4724,-0.0209,0.9526,94.96,-36.78
4h,none,7,70,10,3.0,1581,0.5256,-0.0146,0.9537,58.8,-23.06
4h,none,7,70,10,4.0,1503,0.5449,-0.009,0.9629,40.45,-13.55
4h,none,7,70,15,2.0,1646,0.4441,-0.0049,0.9904,96.77,-8.05
4h,none,7,70,15,3.0,1426,0.514,-0.0179,0.9544,74.6,-25.51
4h,none,7,70,15,4.0,1326,0.5505,-0.0101,0.9665,47.98,-13.33
4h,none,7,70,20,2.0,1567,0.4244,0.0029,1.0052,90.04,4.49
4h,none,7,70,20,3.0,1348,0.4948,-0.0146,0.9659,76.69,-19.73
4h,none,7,70,20,4.0,1248,0.5369,-0.0012,0.9966,43.57,-1.44
4h,none,7,70,25,2.0,1506,0.3997,0.0067,1.0116,96.21,10.11
4h,none,7,70,25,3.0,1276,0.489,-0.0181,0.9604,87.58,-23.13
4h,none,7,70,25,4.0,1164,0.5318,-0.0004,0.9989,44.04,-0.46
4h,none,7,75,5,2.0,1317,0.5194,-0.0103,0.9713,43.38,-13.58
4h,none,7,75,5,3.0,1247,0.5557,-0.0016,0.9937,23.08,-1.95
4h,none,7,75,5,4.0,1213,0.5697,-0.0014,0.9929,17.17,-1.64
4h,none,7,75,10,2.0,1217,0.4856,0.0076,1.0172,51.0,9.3
4h,none,7,75,10,3.0,1100,0.54,0.0052,1.0161,33.13,5.68
4h,none,7,75,10,4.0,1034,0.56,0.0032,1.013,24.94,3.35
4h,none,7,75,15,2.0,1158,0.4396,0.0022,1.0041,69.58,2.49
4h,none,7,75,15,3.0,1018,0.5167,0.0028,1.007,40.23,2.8
4h,none,7,75,15,4.0,950,0.56,0.0249,1.0855,20.0,23.68
4h,none,7,75,20,2.0,1125,0.4089,-0.0272,0.9519,87.08,-30.58
4h,none,7,75,20,3.0,976,0.4867,-0.0148,0.9661,50.55,-14.48
4h,none,7,75,20,4.0,905,0.5348,0.0041,1.012,26.59,3.74
4h,none,7,75,25,2.0,1095,0.3817,-0.0382,0.9362,93.66,-41.83
4h,none,7,75,25,3.0,944,0.4788,-0.0311,0.9341,60.1,-29.36
4h,none,7,75,25,4.0,865,0.5237,-0.0275,0.9281,45.42,-23.82
4h,none,7,80,5,2.0,786,0.5509,0.0181,1.0525,24.47,14.2
4h,none,7,80,5,3.0,742,0.5809,-0.0039,0.9846,19.96,-2.89
4h,none,7,80,5,4.0,718,0.5891,0.004,1.0214,14.86,2.89
4h,none,7,80,10,2.0,742,0.4865,0.0224,1.0501,27.32,16.64
4h,none,7,80,10,3.0,680,0.5279,-0.0126,0.963,24.97,-8.6
4h,none,7,80,10,4.0,646,0.5526,-0.0011,0.9958,18.23,-0.7
4h,none,7,80,15,2.0,720,0.4417,0.0281,1.054,31.29,20.23
4h,none,7,80,15,3.0,653,0.51,0.0171,1.043,24.21,11.14
4h,none,7,80,15,4.0,616,0.5552,0.0343,1.1151,11.11,21.14
4h,none,7,80,20,2.0,707,0.4102,-0.0017,0.9971,43.04,-1.17
4h,none,7,80,20,3.0,631,0.4897,-0.0274,0.9397,39.75,-17.29
4h,none,7,80,20,4.0,594,0.5455,0.0086,1.0248,20.23,5.13
4h,none,7,80,25,2.0,697,0.3773,-0.0125,0.9792,51.69,-8.72
4h,none,7,80,25,3.0,618,0.4612,-0.0483,0.9017,50.35,-29.82
4h,none,7,80,25,4.0,578,0.5156,-0.0212,0.9451,33.59,-12.27
4h,none,7,85,5,2.0,387,0.5478,0.0061,1.0178,29.76,2.37
4h,none,7,85,5,3.0,367,0.5777,-0.0018,0.9929,21.35,-0.66
4h,none,7,85,5,4.0,360,0.5861,0.0088,1.0453,15.71,3.16
4h,none,7,85,10,2.0,375,0.4933,0.0277,1.0622,26.42,10.37
4h,none,7,85,10,3.0,354,0.5452,-0.0005,0.9985,21.48,-0.18
4h,none,7,85,10,4.0,343,0.5714,-0.0037,0.9862,16.59,-1.27
4h,none,7,85,15,2.0,373,0.4558,0.0662,1.1286,19.73,24.69
4h,none,7,85,15,3.0,348,0.5115,0.0052,1.0123,18.71,1.8
4h,none,7,85,15,4.0,338,0.5503,0.0099,1.0303,11.94,3.35
4h,none,7,85,20,2.0,371,0.4151,0.008,1.0143,28.26,2.96
4h,none,7,85,20,3.0,343,0.4752,-0.0448,0.9038,34.06,-15.35
4h,none,7,85,20,4.0,333,0.5255,-0.0286,0.9231,22.18,-9.52
4h,none,7,85,25,2.0,370,0.3892,0.0176,1.03,29.8,6.51
4h,none,7,85,25,3.0,341,0.4575,-0.0506,0.8991,32.37,-17.24
4h,none,7,85,25,4.0,331,0.5045,-0.0457,0.8892,26.33,-15.12
4h,none,7,90,5,2.0,128,0.4922,-0.0564,0.8647,22.01,-7.22
4h,none,7,90,5,3.0,116,0.5776,-0.0136,0.9554,14.21,-1.58
4h,none,7,90,5,4.0,115,0.6087,0.0085,1.0369,8.71,0.98
4h,none,7,90,10,2.0,128,0.4062,-0.1318,0.7544,25.67,-16.88
4h,none,7,90,10,3.0,115,0.4783,-0.0584,0.8557,16.29,-6.72
4h,none,7,90,10,4.0,113,0.5133,-0.0621,0.8118,13.33,-7.02
4h,none,7,90,15,2.0,128,0.3594,-0.1132,0.8146,28.7,-14.49
4h,none,7,90,15,3.0,115,0.4435,-0.0637,0.8669,17.45,-7.33
4h,none,7,90,15,4.0,113,0.4867,-0.0738,0.8202,16.37,-8.34
4h,none,7,90,20,2.0,128,0.3203,-0.1829,0.72,35.92,-23.41
4h,none,7,90,20,3.0,115,0.4174,-0.1367,0.7466,23.6,-15.72
4h,none,7,90,20,4.0,113,0.4602,-0.1153,0.7406,19.99,-13.03
4h,none,7,90,25,2.0,127,0.3307,-0.1488,0.7777,30.13,-18.9
4h,none,7,90,25,3.0,114,0.4123,-0.117,0.7916,20.63,-13.33
4h,none,7,90,25,4.0,112,0.4732,-0.1208,0.7515,20.7,-13.52
4h,none,10,70,5,2.0,1321,0.5375,0.0053,1.0153,42.2,6.96
4h,none,10,70,5,3.0,1252,0.5703,0.0008,1.0033,24.48,0.99
4h,none,10,70,5,4.0,1210,0.5793,0.0005,1.0028,16.72,0.64
4h,none,10,70,10,2.0,1164,0.4931,0.022,1.0504,45.89,25.61
4h,none,10,70,10,3.0,1057,0.544,0.007,1.0218,35.63,7.38
4h,none,10,70,10,4.0,997,0.5647,0.0072,1.029,26.8,7.2
4h,none,10,70,15,2.0,1107,0.4526,0.0425,1.0837,53.84,47.0
4h,none,10,70,15,3.0,974,0.5246,0.0224,1.0577,30.19,21.86
4h,none,10,70,15,4.0,896,0.5714,0.043,1.1505,17.34,38.49
4h,none,10,70,20,2.0,1076,0.4303,0.0101,1.0185,69.84,10.9
4h,none,10,70,20,3.0,933,0.4995,-0.0052,0.988,46.6,-4.84
4h,none,10,70,20,4.0,850,0.5494,0.0173,1.052,24.18,14.68
4h,none,10,70,25,2.0,1046,0.3948,-0.014,0.976,91.3,-14.68
4h,none,10,70,25,3.0,896,0.4855,-0.0278,0.9408,59.73,-24.87
4h,none,10,70,25,4.0,806,0.531,-0.0147,0.9605,41.97,-11.85
4h,none,10,75,5,2.0,754,0.5332,0.0102,1.0296,33.78,7.69
4h,none,10,75,5,3.0,707,0.57,0.0051,1.021,20.57,3.61
4h,none,10,75,5,4.0,685,0.5752,0.0133,1.0741,13.12,9.14
4h,none,10,75,10,2.0,694,0.4841,0.0045,1.0101,33.01,3.12
4h,none,10,75,10,3.0,632,0.5427,-0.0049,0.9852,20.93,-3.09
4h,none,10,75,10,4.0,593,0.5599,-0.0008,0.997,17.71,-0.45
4h,none,10,75,15,2.0,677,0.4431,0.0219,1.0421,28.49,14.85
4h,none,10,75,15,3.0,608,0.5214,0.0348,1.0906,12.9,21.17
4h,none,10,75,15,4.0,568,0.5563,0.0349,1.1153,9.19,19.83
4h,none,10,75,20,2.0,668,0.4117,-0.0288,0.9497,47.78,-19.21
4h,none,10,75,20,3.0,587,0.4991,-0.0265,0.9406,31.82,-15.58
4h,none,10,75,20,4.0,548,0.5474,0.0073,1.021,16.04,3.99
4h,none,10,75,25,2.0,660,0.3848,-0.0294,0.9508,47.77,-19.4
4h,none,10,75,25,3.0,575,0.4643,-0.0457,0.905,40.85,-26.29
4h,none,10,75,25,4.0,534,0.5187,-0.0189,0.9504,25.43,-10.1
4h,none,10,80,5,2.0,371,0.5391,-0.0232,0.9323,28.78,-8.6
4h,none,10,80,5,3.0,356,0.5815,-0.0186,0.9265,21.16,-6.64
4h,none,10,80,5,4.0,349,0.5874,-0.0021,0.9887,13.44,-0.75
4h,none,10,80,10,2.0,353,0.4788,-0.0303,0.9338,29.32,-10.69
